run_id,cycle_id,direction,n_rows,u_min,u_max,p_max,s_max
step_0.01V_settle_200ms,1,up,1001,0.01,10.01,5.6537,37.695
step_0.01V_settle_200ms,1,down,1002,0,10,5.6573,37.891
step_0.01V_settle_200ms,2,up,1001,0.01,10.01,5.6186,38.525
step_0.01V_settle_200ms,2,down,1002,0,10,5.6186,38.672
step_0.01V_settle_200ms,3,up,1001,0.01,10.01,5.6186,38.525
step_0.01V_settle_200ms,3,down,1002,0,10,5.6186,38.672
step_0.01V_settle_200ms,4,up,1001,0.01,10.01,5.1128,36.426
step_0.01V_settle_200ms,4,down,1001,0,10,5.0867000000000004,36.621
step_0.05V_settle_400ms,1,up,201,0,10,5.130800000000001,35.596
step_0.05V_settle_400ms,1,down,200,0,9.95,5.1173,35.791
step_0.05V_settle_400ms,2,up,200,0.05,10,4.814,34.18
step_0.05V_settle_400ms,2,down,200,0,9.95,4.796,34.375
step_0.05V_settle_400ms,3,up,200,0.05,10,4.814,34.18
step_0.05V_settle_400ms,3,down,200,0,9.95,4.796,34.375
step_0.05V_settle_400ms,4,up,200,0.05,10,4.5503,32.568
step_0.05V_settle_400ms,4,down,199,0.05,9.95,4.5287,32.764
step_0.10V_settle_600ms,1,up,102,0,10.1,5.6618,38.916
step_0.10V_settle_600ms,1,down,101,0,10,5.6618,38.965
step_0.10V_settle_600ms,2,up,101,0.1,10.1,5.6537,38.965
step_0.10V_settle_600ms,2,down,101,0,10,5.6492000000000004,39.063
step_0.10V_settle_600ms,3,up,101,0.1,10.1,5.6537,38.965
step_0.10V_settle_600ms,3,down,101,0,10,5.6492000000000004,39.063
step_0.10V_settle_600ms,4,up,101,0.1,10.1,5.4647,38.33
step_0.10V_settle_600ms,4,down,100,0.1,10,5.4602,38.428
