sequence_id,u,t_ms,keep_for_recommendation,outlier_flag,exclude_reason
1,0.6,1155817387,FALSE,FALSE,initial_warmup_row
2,8.28,736,TRUE,FALSE,NA
3,0.6,978,TRUE,FALSE,NA
4,8.28,688,TRUE,FALSE,NA
5,0.6,1000,TRUE,FALSE,NA
6,8.28,644,TRUE,FALSE,NA
7,0.6,1039,TRUE,FALSE,NA
8,8.28,642,TRUE,FALSE,NA
9,0.6,961,TRUE,FALSE,NA
10,8.28,632,TRUE,FALSE,NA
11,0.6,1051,TRUE,FALSE,NA
12,8.28,688,TRUE,FALSE,NA
13,0.6,945,TRUE,FALSE,NA
14,8.28,646,TRUE,FALSE,NA
15,0.6,1059,TRUE,FALSE,NA
16,8.28,687,TRUE,FALSE,NA
17,0.6,1073,TRUE,FALSE,NA
18,8.28,671,TRUE,FALSE,NA
19,0.6,1002,TRUE,FALSE,NA
20,8.28,653,TRUE,FALSE,NA
21,0.6,1030,TRUE,FALSE,NA
22,8.28,669,TRUE,FALSE,NA
23,0.6,1002,TRUE,FALSE,NA
24,8.28,664,TRUE,FALSE,NA
25,0.6,1037,TRUE,FALSE,NA
26,8.28,660,TRUE,FALSE,NA
27,0.6,1083,TRUE,FALSE,NA
28,8.28,673,TRUE,FALSE,NA
29,0.6,1027,TRUE,FALSE,NA
30,8.28,670,TRUE,FALSE,NA
31,0.6,1033,TRUE,FALSE,NA
32,8.28,679,TRUE,FALSE,NA
33,0.6,954,TRUE,FALSE,NA
34,8.28,645,TRUE,FALSE,NA
35,0.6,921,TRUE,FALSE,NA
36,8.28,654,TRUE,FALSE,NA
37,0.6,1053,TRUE,FALSE,NA
38,8.28,644,TRUE,FALSE,NA
39,0.6,950,TRUE,FALSE,NA
40,8.28,664,TRUE,FALSE,NA
41,0.6,1077,TRUE,FALSE,NA
42,8.28,678,TRUE,FALSE,NA
43,0.6,1050,TRUE,FALSE,NA
44,8.28,681,TRUE,FALSE,NA
45,0.6,914,TRUE,FALSE,NA
46,8.28,638,TRUE,FALSE,NA
47,0.6,995,TRUE,FALSE,NA
48,8.28,670,TRUE,FALSE,NA
49,0.6,977,TRUE,FALSE,NA
50,8.28,675,TRUE,FALSE,NA
51,0.6,1040,TRUE,FALSE,NA
52,8.28,676,TRUE,FALSE,NA
53,0.6,1047,TRUE,FALSE,NA
54,8.28,717,TRUE,FALSE,NA
55,0.6,1035,TRUE,FALSE,NA
56,8.28,719,TRUE,FALSE,NA
57,0.6,996,TRUE,FALSE,NA
58,8.28,695,TRUE,FALSE,NA
59,0.6,968,TRUE,FALSE,NA
60,8.28,690,TRUE,FALSE,NA
61,0.6,993,TRUE,FALSE,NA
62,8.28,691,TRUE,FALSE,NA
63,0.6,973,TRUE,FALSE,NA
64,8.28,710,TRUE,FALSE,NA
65,0.6,933,TRUE,FALSE,NA
66,8.28,661,TRUE,FALSE,NA
67,0.6,1046,TRUE,FALSE,NA
68,8.28,709,TRUE,FALSE,NA
69,0.6,1063,TRUE,FALSE,NA
70,8.28,707,TRUE,FALSE,NA
71,0.6,1012,TRUE,FALSE,NA
72,8.28,725,TRUE,FALSE,NA
