hold_id,t_start_s,t_end_s,u_cmd_v,delta_u_v,delta_u_pct_span,direction,step_bin
1,0,4,4.073983032184436,0,0,start,start
2,4,8,2.053244667330487,-2.0207383648539485,32.321295528124146,down,medium
3,8,12,1.538446448753164,-0.5147982185773232,8.234091879179081,down,xsmall
4,12,16,2.579728856684461,1.041282407931297,16.65509846318807,up,small
5,16,20,6.5570234102377345,3.9772945535532735,63.61601031763711,up,xlarge
6,20,24,5.76372184354716,-0.7933015666905741,12.688695788572874,down,small
7,24,28,6.43011221688988,0.6663903733427192,10.658777290776948,up,small
8,28,32,7.088191522914801,0.6580793060249217,10.525843474304335,up,small
9,32,36,6.5475056350549,-0.540685887859901,8.648159837688404,down,xsmall
10,36,40,5.598214449253664,-0.9492911858012363,15.183717740095844,down,small
11,40,44,6.2324189213341885,0.6342044720805244,10.143970404033048,up,small
12,44,48,4.96838582269922,-1.2640330986349682,20.217950056718088,down,small
13,48,52,6.086740774614416,1.1183549519151956,17.887857990366136,up,small
14,52,56,3.7952904439019983,-2.2914503307124177,36.651277876998606,down,medium
15,56,60,4.877161136781011,1.0818706928790123,17.304299752969904,up,small
16,60,64,3.9824612994589774,-0.8946998373220332,14.310540322294573,down,small
17,64,68,3.246760492558794,-0.7357008069001836,11.76738345432407,down,small
18,68,72,2.857385097465965,-0.3893753950928289,6.227979551961954,down,xsmall
19,72,76,1.6196951820978884,-1.2376899153680765,19.796596245492616,down,small
20,76,80,4.5315307337167905,2.911835551618902,46.574212193954736,up,large
21,80,84,3.1423586280591373,-1.3891721056576531,22.219522797862407,down,small
22,84,88,2.8075787470846425,-0.33477988097449485,5.3547355056174935,down,xsmall
23,88,92,3.745086298814792,0.9375075517301497,14.995240930910114,up,small
24,92,96,3.212033810186109,-0.5330524886286834,8.526065183215819,down,xsmall
25,96,100,2.60804194364696,-0.6039918665391486,9.660725977460276,down,xsmall
26,100,104,3.2268780269444823,0.6188360832975222,9.89815617875484,up,xsmall
27,104,108,2.15968420172379,-1.0671938252206923,17.06954626619379,down,small
28,108,112,4.833753018445492,2.674068816721702,42.77118205456062,up,large
29,112,116,6.8040451468007905,1.9702921283552985,31.514418325952377,up,medium
30,116,120,5.135352192529937,-1.6686929542708535,26.69040141898082,down,medium
31,120,124,6.906414659598283,1.7710624670683464,28.327780771867506,up,medium
32,124,128,4.716507195716016,-2.1899074638822675,35.02712055674728,down,medium
33,128,132,5.045863731199685,0.3293565354836687,5.267990207260781,up,xsmall
34,132,136,5.708684526933751,0.6628207957340662,10.6016826293371,up,small
35,136,140,3.633535524688074,-2.0751490022456767,33.191582509159794,down,medium
36,140,144,3.9759792516055077,0.34244372691743363,5.477317148996963,up,xsmall
37,144,148,4.872719476411209,0.8967402248057015,14.3431759014465,up,small
38,148,152,3.3465042201983146,-1.5262152562128946,24.41149987230238,down,small
39,152,156,3.7356087983626094,0.3891045781642948,6.2236478907566175,up,xsmall
40,156,160,2.0132463261036193,-1.72236247225899,27.548834347219856,down,medium
41,160,164,4.6377119941455724,2.624465668041953,41.97778986906632,up,large
42,164,168,1.9822220777078412,-2.6554899164377312,42.474016356561336,down,large
43,168,172,3.3105259500784503,1.328303872370609,21.24594789545907,up,small
44,172,176,2.3705655179510234,-0.9399604321274269,15.034474249579386,down,small
45,176,180,1.8724894369651763,-0.4980760809858471,7.966624719473269,down,xsmall
46,180,184,3.37967403162759,1.5071845946624136,24.10710834553822,up,small
47,184,188,1.5262297669115208,-1.8534442647160692,29.645460722038894,down,medium
48,188,192,4.813099339264697,3.286869572353176,52.57280440563336,up,large
49,192,196,1.668559832741355,-3.1445395065233415,50.2962642061524,down,large
50,196,200,4.065593424815857,2.397033592074502,38.34006047877484,up,medium
51,200,204,5.064007748862891,0.998414324047034,15.969432257188254,up,small
52,204,208,2.013789036673421,-3.05021871218947,48.78762245364487,down,large
53,208,212,2.7051806756629766,0.6913916389895558,11.058667405006037,up,small
54,212,216,4.6682771508772944,1.9630964752143178,31.39932533037582,up,medium
55,216,220,2.5077840209246034,-2.160493129952691,34.55664432081483,down,medium
56,220,224,2.1330520235839225,-0.37473199734068086,5.993761409467661,down,xsmall
57,224,228,1.6555394663556937,-0.47751255722822883,7.637715376220601,down,xsmall
58,228,232,4.7392117618477725,3.0836722954920788,49.32270565452055,up,large
59,232,236,5.422778621639659,0.6835668597918865,10.933511667237646,up,small
60,236,240,4.433026294968225,-0.9897523266714341,15.830885386445376,down,small
61,240,244,5.896836501534834,1.4638102065666088,23.413343907558943,up,small
62,244,248,4.770586551965305,-1.1262499495695284,18.014136857941345,down,small
63,248,252,6.8432933933706925,2.0727068414053873,33.15252064760509,up,medium
64,252,256,4.6914879268836485,-2.151805466487044,34.41768692622786,down,medium
65,256,260,6.6944695618746906,2.002981634991042,32.037280277315794,up,medium
66,260,264,7.136034825069355,0.44156526319466405,7.062745783866078,up,xsmall
67,264,268,4.958309333948078,-2.1777254911212767,34.83227240194818,down,medium
