branch,voltage_bin,voltage_bin_lower_v,voltage_bin_upper_v,voltage_bin_center_v,n_holds,n_unique_voltage_values,u_min_v,u_median_v,u_max_v,s_terminal_mean_mm,s_terminal_median_mm,s_terminal_sd_mm,s_terminal_mad_mm,s_terminal_p95_abs_dev_mm,p_terminal_mean_bar,p_terminal_median_bar,p_terminal_sd_bar,p_terminal_mad_bar,p_terminal_p95_abs_dev_bar,mean_terminal_s_sd_mm,mean_terminal_p_sd_bar,mean_terminal_slope_mm_s,mean_terminal_p_slope_bar_s,branch_s_span_mm,branch_p_span_bar,s_repeatability_sd_pct_branch_span,p_repeatability_sd_pct_branch_span,s_repeatability_p95_pct_branch_span,p_repeatability_p95_pct_branch_span,sufficient_repeats,repeatability_assessment
down,"[0.90, 1.00)",0.9,1,0.95,6,6,0.956,0.9784999999999999,0.998,2.5533333333333332,2.52,0.14895189380020205,0.14826000000000011,0.22999999999999987,0.24333333333333335,0.24,0.015055453054181624,0.014825999999999992,0.020000000000000018,0.14895189380020205,0.015055453054181624,-0.21278195488721827,-0.05764411027568909,24.42,3.48,0.6099586150704424,0.43262796132705816,0.9418509418509412,0.5747126436781614,TRUE,likely_sufficient
down,"[1.00, 1.10)",1,1.1,1.05,5,5,1.036,1.057,1.097,2.654,2.6900000000000004,0.25899806949087484,0.2520419999999992,0.38600000000000034,0.296,0.3,0.0167332005306815,0.029651999999999942,0.020000000000000007,0.25899806949087484,0.0167332005306815,-0.21984962406014974,-0.044511278195488585,24.42,3.48,1.0605981551632875,0.48083909570923844,1.580671580671582,0.5747126436781612,TRUE,likely_sufficient
down,"[1.10, 1.20)",1.1,1.2000000000000002,1.1500000000000001,13,13,1.1,1.147,1.199,3.02,3,0.3403919309658599,0.38547599999999965,0.552,0.3384615384615385,0.34,0.02230327100305911,0.029651999999999942,0.04000000000000001,0.3403919309658599,0.02230327100305911,-0.24904569115095376,-0.04765760555234246,24.42,3.48,1.3939063512115475,0.6408985920419284,2.2604422604422605,1.149425287356322,TRUE,likely_sufficient
down,"[1.20, 1.30)",1.2000000000000002,1.3000000000000003,1.2500000000000002,7,7,1.221,1.241,1.29,3.237142857142857,3.24,0.19847034083327458,0.20756400000000017,0.312,0.38857142857142857,0.4,0.02267786838055364,0.029651999999999942,0.040000000000000036,0.19847034083327458,0.02267786838055364,-0.23286788399570144,-0.052846401718582084,24.42,3.48,0.8127368584491178,0.6516628844986679,1.2776412776412776,1.1494252873563229,TRUE,likely_sufficient
down,"[1.30, 1.40)",1.3,1.4000000000000001,1.35,14,14,1.3,1.3535,1.398,3.4578571428571427,3.3499999999999996,0.3500808383882119,0.2816939999999992,0.6330000000000001,0.44857142857142857,0.46,0.020326997151247236,0.014825999999999971,0.047000000000000014,0.3500808383882119,0.020326997151247236,-0.20902255639097594,0.03963480128893735,24.42,3.48,1.4335824667821946,0.5841091135415872,2.5921375921375924,1.3505747126436785,TRUE,likely_sufficient
down,"[1.40, 1.50)",1.4000000000000001,1.5000000000000002,1.4500000000000002,12,12,1.401,1.4415,1.498,3.69,3.6,0.29560415792376493,0.2520420000000002,0.5029999999999997,0.5016666666666667,0.49,0.02480224818744293,0.014826000000000013,0.050000000000000044,0.29560415792376493,0.02480224818744293,-0.17456140350877203,0.010025062656641657,24.42,3.48,1.2105002371980544,0.71270828124836,2.0597870597870584,1.4367816091954035,TRUE,likely_sufficient
down,"[1.50, 1.60)",1.5,1.6,1.55,12,11,1.524,1.55,1.596,3.75,3.84,0.3879550114498986,0.400302,0.7219999999999998,0.5733333333333334,0.5700000000000001,0.015569978883230421,0.014826000000000013,0.029999999999999916,0.3879550114498986,0.015569978883230421,-0.055263157894737264,-0.001503759398495718,24.42,3.48,1.588677360564695,0.44741318629972476,2.956592956592955,0.862068965517239,TRUE,likely_sufficient
down,"[1.60, 1.70)",1.6,1.7000000000000002,1.6500000000000001,10,10,1.602,1.6404999999999998,1.683,4.1,4.17,0.4001388647846033,0.5189099999999998,0.5794999999999999,0.623,0.62,0.018885620632287076,0.029652000000000026,0.025500000000000012,0.4001388647846033,0.018885620632287076,-0.06947368421052567,0.015037593984962305,24.42,3.48,1.6385702898632402,0.5426902480542263,2.3730548730548726,0.7327586206896555,TRUE,likely_sufficient
down,"[1.70, 1.80)",1.7000000000000002,1.8000000000000003,1.7500000000000002,11,11,1.709,1.737,1.786,4.623636363636364,4.82,0.3684636407373929,0.29651999999999895,0.7900000000000005,0.6872727272727273,0.7,0.020538212722098787,0.02965199999999986,0.039999999999999925,0.3684636407373929,0.020538212722098787,-0.16732740943267524,-0.008885850991113576,24.42,3.48,1.5088601176797414,0.5901785264970916,3.2350532350532366,1.1494252873563198,TRUE,likely_sufficient
down,"[1.80, 1.90)",1.8,1.9000000000000001,1.85,10,10,1.828,1.8595000000000002,1.892,4.859,4.95,0.2719660926578082,0.17049899999999965,0.5299999999999998,0.758,0.76,0.022010098692292257,0.029652000000000026,0.031000000000000007,0.2719660926578082,0.022010098692292257,-0.08360902255639042,0.001804511278195868,24.42,3.48,1.1137022631359876,0.6324741003532257,2.1703521703521695,0.8908045977011496,TRUE,likely_sufficient
