analysis_name,hold_id,branch,n_samples,full_modal_n,is_full_hold,hold_duration_s,terminal_tail_n_samples,terminal_tail_start_s,u_previous_v,u_cmd_v,delta_u_v,abs_delta_u_v,voltage_bin_width_v,voltage_bin_lower_v,voltage_bin_upper_v,voltage_bin_center_v,voltage_bin,s_start_mm,s_terminal_mm,p_start_bar,p_terminal_bar,s_terminal_sd_mm,p_terminal_sd_bar,s_terminal_slope_mm_s,p_terminal_slope_bar_s,terminal_stable,eligible_for_repeatability,exclusion_reason,terminal_tail_fraction,min_repeats_per_bin,max_terminal_s_sd_mm,max_terminal_s_slope_mm_s,max_terminal_p_sd_bar,max_terminal_p_slope_bar_s
local_static_map_repeatability,1,start,1,400,FALSE,0.01,5,0,NA,0,NA,NA,0.1,0,0.1,0.05,"[0.00, 0.10)",-0,-0,-0.3,-0.3,NA,NA,NA,NA,FALSE,FALSE,startup_or_zero_command_hold,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,2,up,400,400,TRUE,4,20,3.8000000000000003,0,4.074,4.074,4.074,0.1,4,4.1,4.05,"[4.00, 4.10)",-0.01,9.96,-0.3,2.1,0.010052493799000478,0,0.14436090225564413,-2.7822537020936368e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,3,down,400,400,TRUE,4,20,3.8000000000000003,4.074,2.053,-2.021,2.021,0.1,2,2.1,2.05,"[2.00, 2.10)",9.98,4.26,2.1,0.88,0.007326950970650634,0,-0.07368421052631982,1.6517492293913453e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,4,down,400,400,TRUE,4,20,3.8000000000000003,2.053,1.538,-0.5149999999999999,0.5149999999999999,0.1,1.5,1.6,1.55,"[1.50, 1.60)",4.26,2.92,0.88,0.58,0.004472135954999583,0,-0.019548872180450035,3.964709788945392e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,5,up,400,400,TRUE,4,20,3.8000000000000003,1.538,2.58,1.042,1.042,0.1,2.5,2.6,2.55,"[2.50, 2.60)",2.92,5.02,0.58,1.2,0,0,1.0146574527673218e-15,-2.0395688429745824e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,6,up,400,400,TRUE,4,20,3.8000000000000003,2.58,6.557,3.9770000000000003,3.9770000000000003,0.1,6.5,6.6,6.55,"[6.50, 6.60)",5.02,22.04,1.2,3.58,0.018209309360006132,0,0.29022556390974535,-2.5013092287083402e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,7,down,400,400,TRUE,4,20,3.8000000000000003,6.557,5.764,-0.7930000000000001,0.7930000000000001,0.1,5.7,5.8,5.75,"[5.70, 5.80)",22.08,19.68,3.58,3.12,0,0,-1.5226096253797768e-14,4.187251461568364e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,8,up,400,400,TRUE,4,20,3.8000000000000003,5.764,6.43,0.6659999999999995,0.6659999999999995,0.1,6.4,6.5,6.45,"[6.40, 6.50)",19.68,22.32,3.12,3.52,0.008885233166386196,0,0.11278195488721825,6.606996917565381e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,9,up,400,400,TRUE,4,20,3.8000000000000003,6.43,7.088,0.6580000000000004,0.6580000000000004,0.1,7,7.1,7.05,"[7.00, 7.10)",22.32,25.770000000000003,3.52,3.9,0.010259783520851322,0,0.15037593984964817,-8.238376599396804e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,10,down,400,400,TRUE,4,20,3.8000000000000003,7.088,6.548,-0.54,0.54,0.1,6.5,6.6,6.55,"[6.50, 6.60)",25.78,24.5,3.9,3.58,0,0,2.182394546539952e-14,-2.5013092287083402e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,11,down,400,400,TRUE,4,20,3.8000000000000003,6.548,5.598,-0.9500000000000002,0.9500000000000002,0.1,5.5,5.6,5.55,"[5.50, 5.60)",24.5,20.48,3.58,3.02,0,0,-1.4862852073811393e-14,-9.334593163592112e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,12,up,400,400,TRUE,4,20,3.8000000000000003,5.598,6.232,0.6340000000000003,0.6340000000000003,0.1,6.2,6.3,6.25,"[6.20, 6.30)",20.48,22.64,3.02,3.4,0,0,2.146198800439939e-14,-5.529170670335641e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,13,down,400,400,TRUE,4,20,3.8000000000000003,6.232,4.968,-1.2640000000000002,1.2640000000000002,0.1,4.9,5,4.95,"[4.90, 5.00)",22.64,17.44,3.4,2.64,0.00978720969859165,0.008885233166386394,-0.1278195488722032,-0.007518796992482557,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,14,up,400,400,TRUE,4,20,3.8000000000000003,4.968,6.087,1.1189999999999998,1.1189999999999998,0.1,6,6.1,6.05,"[6.00, 6.10)",17.42,21.86,2.64,3.3,0,0,-2.538108507772819e-15,1.9393300381827775e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,15,down,400,400,TRUE,4,20,3.8000000000000003,6.087,3.795,-2.292,2.292,0.1,3.7,3.8000000000000003,3.75,"[3.70, 3.80)",21.86,11.66,3.3,1.92,0.012311740225021586,0,-0.1804511278195445,-8.338615404188609e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,16,up,400,400,TRUE,4,20,3.8000000000000003,3.795,4.877,1.0819999999999999,1.0819999999999999,0.1,4.800000000000001,4.9,4.8500000000000005,"[4.80, 4.90)",11.64,15.62,1.92,2.58,0,0,4.313304335378286e-15,1.813466974449467e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,17,down,400,400,TRUE,4,20,3.8000000000000003,4.877,3.982,-0.8949999999999996,0.8949999999999996,0.1,3.9000000000000004,4,3.95,"[3.90, 4.00)",15.62,12.32,2.58,2.04,0.008885233166386196,0,-0.11278195488722213,3.788399816465446e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,18,down,400,400,TRUE,4,20,3.8000000000000003,3.982,3.247,-0.7350000000000003,0.7350000000000003,0.1,3.2,3.3000000000000003,3.25,"[3.20, 3.30)",12.3,9.16,2.04,1.6,0.004472135954999484,0,-0.028571428571418426,-1.72099425159674e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,19,down,400,400,TRUE,4,20,3.8000000000000003,3.247,2.857,-0.3899999999999997,0.3899999999999997,0.1,2.8000000000000003,2.9000000000000004,2.8500000000000005,"[2.80, 2.90)",9.14,7.54,1.6,1.36,0,0,1.3141492185911439e-14,8.837530027856732e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,20,down,400,400,TRUE,4,20,3.8000000000000003,2.857,1.62,-1.237,1.237,0.1,1.6,1.7000000000000002,1.6500000000000001,"[1.60, 1.70)",7.54,3.64,1.36,0.62,0,0,-3.996657491838145e-15,3.3985293736662324e-17,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,21,up,400,400,TRUE,4,20,3.8000000000000003,1.62,4.532,2.912,2.912,0.1,4.5,4.6,4.55,"[4.50, 4.60)",3.64,12.9,0.62,2.36,0.006155870112510793,0,0.05413533834584623,-1.9486675542230184e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,22,down,400,400,TRUE,4,20,3.8000000000000003,4.532,3.142,-1.3900000000000001,1.3900000000000001,0.1,3.1,3.2,3.1500000000000004,"[3.10, 3.20)",12.92,8.24,2.36,1.54,0.006155870112510793,0,-0.0511278195488676,5.442252411281146e-17,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,23,down,400,400,TRUE,4,20,3.8000000000000003,3.142,2.808,-0.3340000000000001,0.3340000000000001,0.1,2.8000000000000003,2.9000000000000004,2.8500000000000005,"[2.80, 2.90)",8.24,7.06,1.54,1.34,0,0,-1.5498163752484342e-14,-2.4242765177430167e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,24,up,400,400,TRUE,4,20,3.8000000000000003,2.808,3.745,0.9370000000000003,0.9370000000000003,0.1,3.7,3.8000000000000003,3.75,"[3.70, 3.80)",7.06,9.7,1.34,1.9,0,0,1.3340136952695656e-14,-3.354121193755926e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,25,down,400,400,TRUE,4,20,3.8000000000000003,3.745,3.212,-0.5329999999999999,0.5329999999999999,0.1,3.2,3.3000000000000003,3.25,"[3.20, 3.30)",9.7,8.32,1.9,1.58,0,0,1.0153933866570821e-15,1.595176309740914e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,26,down,400,400,TRUE,4,20,3.8000000000000003,3.212,2.608,-0.6040000000000001,0.6040000000000001,0.1,2.6,2.7,2.6500000000000004,"[2.60, 2.70)",8.32,6.42,1.58,1.22,0.009403246919632345,0,-0.12631578947368266,5.664200085165929e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,27,up,400,400,TRUE,4,20,3.8000000000000003,2.608,3.227,0.6189999999999998,0.6189999999999998,0.1,3.2,3.3000000000000003,3.25,"[3.20, 3.30)",6.4,7.82,1.22,1.58,0,0,6.1632002913056835e-15,1.595176309740914e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,28,down,400,400,TRUE,4,20,3.8000000000000003,3.227,2.16,-1.0669999999999997,1.0669999999999997,0.1,2.1,2.2,2.1500000000000004,"[2.10, 2.20)",7.82,5,1.58,0.94,0,0,9.425594018665317e-15,8.151865083383783e-17,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,29,up,400,400,TRUE,4,20,3.8000000000000003,2.16,4.834,2.6739999999999995,2.6739999999999995,0.1,4.800000000000001,4.9,4.8500000000000005,"[4.80, 4.90)",4.98,14,0.94,2.54,0.010208355710680591,0,0.14887218045113093,-1.3594070881831554e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,30,up,400,400,TRUE,4,20,3.8000000000000003,4.834,6.804,1.9700000000000006,1.9700000000000006,0.1,6.800000000000001,6.9,6.8500000000000005,"[6.80, 6.90)",14.02,24.4,2.54,3.74,0.011742858972249403,0,0.17293233082707002,-1.4135993416252085e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,31,down,400,400,TRUE,4,20,3.8000000000000003,6.804,5.135,-1.6690000000000005,1.6690000000000005,0.1,5.1000000000000005,5.2,5.15,"[5.10, 5.20)",24.42,17.68,3.74,2.74,0,0,5.365131364796637e-15,1.2690565845280783e-15,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,32,up,400,400,TRUE,4,20,3.8000000000000003,5.135,6.906,1.771,1.771,0.1,6.9,7,6.95,"[6.90, 7.00)",17.68,25.3,2.74,3.8,0.010208355710680591,0,0.14887218045111858,-6.708242387511852e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
local_static_map_repeatability,33,down,400,400,TRUE,4,20,3.8000000000000003,6.906,4.717,-2.189,2.189,0.1,4.7,4.8,4.75,"[4.70, 4.80)",25.3,16.04,3.8,2.48,0.006155870112510793,0,-0.054135338345863086,1.359411749466493e-16,TRUE,TRUE,NA,0.05,3,0.6,1.2,0.12,0.25
