branch,s_ref_mm,u_ff_v,p_ff_bar
up,4.395,1.677,0.68
up,4.5275041876046895,1.847,0.7599999999999999
up,4.6600083752093795,2.018,0.8599999999999999
up,4.79251256281407,2.1647500000000006,0.96
up,4.92501675041876,2.1647500000000006,1
up,5.05752093802345,2.2219999999999995,1
up,5.19002512562814,2.2394999999999996,1.04
up,5.32252931323283,2.2855000000000008,1.0700000000000003
up,5.455033500837521,2.3515000000000015,1.1000000000000005
up,5.587537688442211,2.3640000000000008,1.1400000000000006
up,5.720041876046901,2.4130000000000003,1.1600000000000001
up,5.852546063651591,2.4499999999999993,1.1999999999999993
up,5.985050251256281,2.5229999999999997,1.2200000000000006
up,6.117554438860971,2.565999999999999,1.2599999999999998
up,6.250058626465661,2.639499999999998,1.2799999999999994
up,6.382562814070352,2.6839999999999975,1.3200000000000003
up,6.515067001675042,2.724499999999999,1.3599999999999994
up,6.647571189279732,2.765500000000003,1.379999999999999
up,6.780075376884422,2.822499999999998,1.3999999999999986
up,6.912579564489112,2.8569999999999993,1.4400000000000013
up,7.045083752093802,2.947499999999998,1.4600000000000009
up,7.177587939698492,2.9540000000000006,1.4800000000000004
up,7.310092127303182,2.9849999999999994,1.5
up,7.442596314907872,3.009999999999998,1.5199999999999996
up,7.575100502512562,3.0544999999999973,1.5599999999999987
up,7.707604690117252,3.137500000000003,1.5700000000000003
up,7.840108877721943,3.143500000000003,1.6000000000000014
up,7.972613065326633,3.180000000000007,1.6400000000000006
up,8.105117252931322,3.214500000000001,1.6400000000000006
up,8.237621440536014,3.268500000000003,1.6799999999999997
up,8.370125628140704,3.3317499999999995,1.6799999999999997
up,8.502629815745394,3.3317499999999995,1.7199999999999989
up,8.635134003350084,3.393500000000003,1.7199999999999989
up,8.767638190954774,3.4314999999999998,1.7199999999999989
up,8.900142378559464,3.450000000000003,1.7800000000000011
up,9.032646566164154,3.4762500000000003,1.7800000000000011
up,9.165150753768843,3.4762500000000003,1.7999999999999972
up,9.297654941373532,3.5519999999999996,1.8200000000000003
up,9.430159128978223,3.5519999999999996,1.8400000000000034
up,9.562663316582912,3.5815000000000055,1.8800000000000026
up,9.695167504187603,3.6085000000000065,1.8800000000000026
up,9.827671691792297,3.6354999999999933,1.8999999999999986
up,9.960175879396983,3.7055000000000007,1.8999999999999986
