matrix,row,col,value
A_model,1,1,0.9913153966754218
A_model,1,2,-0.08429924642493172
A_model,2,1,-0.0006864975995202689
A_model,2,2,0.9716101114662721
B_model,1,1,0.08862133709366932
B_model,2,1,0.019862542738748917
C_track,1,1,1.0
C_track,1,2,0.0
A_lqi_aug,1,1,0.9913153966754218
A_lqi_aug,1,2,-0.08429924642493172
A_lqi_aug,1,3,0.0
A_lqi_aug,2,1,-0.0006864975995202689
A_lqi_aug,2,2,0.9716101114662721
A_lqi_aug,2,3,0.0
A_lqi_aug,3,1,0.01
A_lqi_aug,3,2,0.0
A_lqi_aug,3,3,1.0
B_lqi_aug,1,1,0.08862133709366932
B_lqi_aug,2,1,0.019862542738748917
B_lqi_aug,3,1,0.0
A_model_up,1,1,0.9897439945533005
A_model_up,1,2,-0.10356374027966588
A_model_up,2,1,-0.0008760242893798822
A_model_up,2,2,0.9618974742215652
B_model_up,1,1,0.11005596838343686
B_model_up,2,1,0.02674340429241026
A_model_down,1,1,0.9928867987975429
A_model_down,1,2,-0.06503475257019758
A_model_down,2,1,-0.0004969709096606556
A_model_down,2,2,0.9813227487109788
B_model_down,1,1,0.06718670580390179
B_model_down,2,1,0.01298168118508757
A_lqi_aug_up,1,1,0.9897439945533005
A_lqi_aug_up,1,2,-0.10356374027966588
A_lqi_aug_up,1,3,0.0
A_lqi_aug_up,2,1,-0.0008760242893798822
A_lqi_aug_up,2,2,0.9618974742215652
A_lqi_aug_up,2,3,0.0
A_lqi_aug_up,3,1,0.01
A_lqi_aug_up,3,2,0.0
A_lqi_aug_up,3,3,1.0
A_lqi_aug_down,1,1,0.9928867987975429
A_lqi_aug_down,1,2,-0.06503475257019758
A_lqi_aug_down,1,3,0.0
A_lqi_aug_down,2,1,-0.0004969709096606556
A_lqi_aug_down,2,2,0.9813227487109788
A_lqi_aug_down,2,3,0.0
A_lqi_aug_down,3,1,0.01
A_lqi_aug_down,3,2,0.0
A_lqi_aug_down,3,3,1.0
B_lqi_aug_up,1,1,0.11005596838343686
B_lqi_aug_up,2,1,0.02674340429241026
B_lqi_aug_up,3,1,0.0
B_lqi_aug_down,1,1,0.06718670580390179
B_lqi_aug_down,2,1,0.01298168118508757
B_lqi_aug_down,3,1,0.0
