sample_id,time_s,hold_id,s_ref_mm
1,0,1,29.34
2,0.01,1,29.34
3,0.02,1,29.34
4,0.03,1,29.34
5,0.04,1,29.34
6,0.05,1,29.34
7,0.06,1,29.34
8,0.07,1,29.34
9,0.08,1,29.34
10,0.09,1,29.34
11,0.1,1,29.34
12,0.11,1,29.34
13,0.12,1,29.34
14,0.13,1,29.34
15,0.14,1,29.34
16,0.15,1,29.34
17,0.16,1,29.34
18,0.17,1,29.34
19,0.18,1,29.34
20,0.19,1,29.34
21,0.2,1,29.34
22,0.21,1,29.34
23,0.22,1,29.34
24,0.23,1,29.34
25,0.24,1,29.34
26,0.25,1,29.34
27,0.26,1,29.34
28,0.27,1,29.34
29,0.28,1,29.34
30,0.29,1,29.34
31,0.3,1,29.34
32,0.31,1,29.34
33,0.32,1,29.34
34,0.33,1,29.34
35,0.34,1,29.34
36,0.35000000000000003,1,29.34
37,0.36,1,29.34
38,0.37,1,29.34
39,0.38,1,29.34
40,0.39,1,29.34
41,0.4,1,29.34
42,0.41000000000000003,1,29.34
43,0.42,1,29.34
44,0.43,1,29.34
45,0.44,1,29.34
46,0.45,1,29.34
47,0.46,1,29.34
48,0.47000000000000003,1,29.34
49,0.48,1,29.34
50,0.49,1,29.34
51,0.5,1,29.34
52,0.51,1,29.34
53,0.52,1,29.34
54,0.53,1,29.34
55,0.54,1,29.34
56,0.55,1,29.34
57,0.56,1,29.34
58,0.5700000000000001,1,29.34
59,0.58,1,29.34
60,0.59,1,29.34
61,0.6,1,29.34
62,0.61,1,29.34
63,0.62,1,29.34
64,0.63,1,29.34
65,0.64,1,29.34
66,0.65,1,29.34
67,0.66,1,29.34
68,0.67,1,29.34
69,0.68,1,29.34
70,0.6900000000000001,1,29.34
71,0.7000000000000001,1,29.34
72,0.71,1,29.34
73,0.72,1,29.34
74,0.73,1,29.34
75,0.74,1,29.34
76,0.75,1,29.34
77,0.76,1,29.34
78,0.77,1,29.34
79,0.78,1,29.34
80,0.79,1,29.34
81,0.8,1,29.34
82,0.81,1,29.34
83,0.8200000000000001,1,29.34
84,0.8300000000000001,1,29.34
85,0.84,1,29.34
86,0.85,1,29.34
87,0.86,1,29.34
88,0.87,1,29.34
89,0.88,1,29.34
90,0.89,1,29.34
91,0.9,1,29.34
92,0.91,1,29.34
93,0.92,1,29.34
94,0.93,1,29.34
95,0.9400000000000001,1,29.34
96,0.9500000000000001,1,29.34
97,0.96,1,29.34
98,0.97,1,29.34
99,0.98,1,29.34
100,0.99,1,29.34
101,1,1,29.34
102,1.01,1,29.34
103,1.02,1,29.34
104,1.03,1,29.34
105,1.04,1,29.34
106,1.05,1,29.34
107,1.06,1,29.34
108,1.07,1,29.34
109,1.08,1,29.34
110,1.09,1,29.34
111,1.1,1,29.34
112,1.11,1,29.34
113,1.12,1,29.34
114,1.1300000000000001,1,29.34
115,1.1400000000000001,1,29.34
116,1.1500000000000001,1,29.34
117,1.16,1,29.34
118,1.17,1,29.34
119,1.18,1,29.34
120,1.19,1,29.34
121,1.2,1,29.34
122,1.21,1,29.34
123,1.22,1,29.34
124,1.23,1,29.34
125,1.24,1,29.34
126,1.25,1,29.34
127,1.26,1,29.34
128,1.27,1,29.34
129,1.28,1,29.34
130,1.29,1,29.34
131,1.3,1,29.34
132,1.31,1,29.34
133,1.32,1,29.34
134,1.33,1,29.34
135,1.34,1,29.34
136,1.35,1,29.34
137,1.36,1,29.34
138,1.37,1,29.34
139,1.3800000000000001,1,29.34
140,1.3900000000000001,1,29.34
141,1.4000000000000001,1,29.34
142,1.41,1,29.34
143,1.42,1,29.34
144,1.43,1,29.34
145,1.44,1,29.34
146,1.45,1,29.34
147,1.46,1,29.34
148,1.47,1,29.34
149,1.48,1,29.34
150,1.49,1,29.34
151,1.5,1,29.34
152,1.51,1,29.34
153,1.52,1,29.34
154,1.53,1,29.34
155,1.54,1,29.34
156,1.55,1,29.34
157,1.56,1,29.34
158,1.57,1,29.34
159,1.58,1,29.34
160,1.59,1,29.34
161,1.6,1,29.34
162,1.61,1,29.34
163,1.62,1,29.34
164,1.6300000000000001,1,29.34
165,1.6400000000000001,1,29.34
166,1.6500000000000001,1,29.34
167,1.6600000000000001,1,29.34
168,1.67,1,29.34
169,1.68,1,29.34
170,1.69,1,29.34
171,1.7,1,29.34
172,1.71,1,29.34
173,1.72,1,29.34
174,1.73,1,29.34
175,1.74,1,29.34
176,1.75,1,29.34
177,1.76,1,29.34
178,1.77,1,29.34
179,1.78,1,29.34
180,1.79,1,29.34
181,1.8,1,29.34
182,1.81,1,29.34
183,1.82,1,29.34
184,1.83,1,29.34
185,1.84,1,29.34
186,1.85,1,29.34
187,1.86,1,29.34
188,1.87,1,29.34
189,1.8800000000000001,1,29.34
190,1.8900000000000001,1,29.34
191,1.9000000000000001,1,29.34
192,1.9100000000000001,1,29.34
193,1.92,1,29.34
194,1.93,1,29.34
195,1.94,1,29.34
196,1.95,1,29.34
197,1.96,1,29.34
198,1.97,1,29.34
199,1.98,1,29.34
200,1.99,1,29.34
201,2,1,29.34
202,2.0100000000000002,1,29.34
203,2.02,1,29.34
204,2.0300000000000002,1,29.34
205,2.04,1,29.34
206,2.05,1,29.34
207,2.06,1,29.34
208,2.07,1,29.34
209,2.08,1,29.34
210,2.09,1,29.34
211,2.1,1,29.34
212,2.11,1,29.34
213,2.12,1,29.34
214,2.13,1,29.34
215,2.14,1,29.34
216,2.15,1,29.34
217,2.16,1,29.34
218,2.17,1,29.34
219,2.18,1,29.34
220,2.19,1,29.34
221,2.2,1,29.34
222,2.21,1,29.34
223,2.22,1,29.34
224,2.23,1,29.34
225,2.24,1,29.34
226,2.25,1,29.34
227,2.2600000000000002,1,29.34
228,2.27,1,29.34
229,2.2800000000000002,1,29.34
230,2.29,1,29.34
231,2.3000000000000003,1,29.34
232,2.31,1,29.34
233,2.32,1,29.34
234,2.33,1,29.34
235,2.34,1,29.34
236,2.35,1,29.34
237,2.36,1,29.34
238,2.37,1,29.34
239,2.38,1,29.34
240,2.39,1,29.34
241,2.4,1,29.34
242,2.41,1,29.34
243,2.42,1,29.34
244,2.43,1,29.34
245,2.44,1,29.34
246,2.45,1,29.34
247,2.46,1,29.34
248,2.47,1,29.34
249,2.48,1,29.34
250,2.49,1,29.34
251,2.5,1,29.34
252,2.5100000000000002,1,29.34
253,2.52,1,29.34
254,2.5300000000000002,1,29.34
255,2.54,1,29.34
256,2.5500000000000003,1,29.34
257,2.56,1,29.34
258,2.57,1,29.34
259,2.58,1,29.34
260,2.59,1,29.34
261,2.6,1,29.34
262,2.61,1,29.34
263,2.62,1,29.34
264,2.63,1,29.34
265,2.64,1,29.34
266,2.65,1,29.34
267,2.66,1,29.34
268,2.67,1,29.34
269,2.68,1,29.34
270,2.69,1,29.34
271,2.7,1,29.34
272,2.71,1,29.34
273,2.72,1,29.34
274,2.73,1,29.34
275,2.74,1,29.34
276,2.75,1,29.34
277,2.7600000000000002,1,29.34
278,2.77,1,29.34
279,2.7800000000000002,1,29.34
280,2.79,1,29.34
281,2.8000000000000003,1,29.34
282,2.81,1,29.34
283,2.82,1,29.34
284,2.83,1,29.34
285,2.84,1,29.34
286,2.85,1,29.34
287,2.86,1,29.34
288,2.87,1,29.34
289,2.88,1,29.34
290,2.89,1,29.34
291,2.9,1,29.34
292,2.91,1,29.34
293,2.92,1,29.34
294,2.93,1,29.34
295,2.94,1,29.34
296,2.95,1,29.34
297,2.96,1,29.34
298,2.97,1,29.34
299,2.98,1,29.34
300,2.99,1,29.34
301,3,1,29.34
302,3.0100000000000002,1,29.34
303,3.02,1,29.34
304,3.0300000000000002,1,29.34
305,3.04,1,29.34
306,3.0500000000000003,1,29.34
307,3.06,1,29.34
308,3.0700000000000003,1,29.34
309,3.08,1,29.34
310,3.09,1,29.34
311,3.1,1,29.34
312,3.11,1,29.34
313,3.12,1,29.34
314,3.13,1,29.34
315,3.14,1,29.34
316,3.15,1,29.34
317,3.16,1,29.34
318,3.17,1,29.34
319,3.18,1,29.34
320,3.19,1,29.34
321,3.2,1,29.34
322,3.21,1,29.34
323,3.22,1,29.34
324,3.23,1,29.34
325,3.24,1,29.34
326,3.25,1,29.34
327,3.2600000000000002,1,29.34
328,3.27,1,29.34
329,3.2800000000000002,1,29.34
330,3.29,1,29.34
331,3.3000000000000003,1,29.34
332,3.31,1,29.34
333,3.3200000000000003,1,29.34
334,3.33,1,29.34
335,3.34,1,29.34
336,3.35,1,29.34
337,3.36,1,29.34
338,3.37,1,29.34
339,3.38,1,29.34
340,3.39,1,29.34
