branch,s_ref_mm,u_ff_v,p_ff_bar
up,3.82,1.0266854900019053,0.40849108302723136
up,3.94272864321608,1.2991231382884134,0.5194765469011063
up,4.065457286432161,1.577209283696566,0.6342470861657741
up,4.188185929648241,1.8609439262263634,0.7528027008212349
up,4.310914572864322,1.904041351592091,0.7780005337246313
up,4.433643216080402,1.9457872985319289,0.8032494570342507
up,4.556371859296482,1.9861956035838526,0.8280773814461115
up,4.679100502512563,2.0258020258486136,0.8522888987355668
up,4.801829145728643,2.0692970642615744,0.8785943577657704
up,4.924557788944724,2.1167033027342725,0.9070113770497715
up,5.047286432160804,2.168020741266708,0.9375399565875704
up,5.1700150753768845,2.22324937985888,0.9701800963791674
up,5.292743718592964,2.2765417072747156,1.001905448364109
up,5.415472361809045,2.3278648572080964,1.0331767743139393
up,5.538201005025126,2.3772188296590238,1.0639940742286584
up,5.660929648241206,2.4239204248606834,1.093327564482441
up,5.783658291457287,2.469065573994745,1.1218573970731323
up,5.9063869346733675,2.5126542770612095,1.149583572000732
up,6.029115577889447,2.5546865340600773,1.1765060892652401
up,6.151844221105527,2.5981345027458986,1.203460649235161
up,6.274572864321608,2.642357658699799,1.2298508734668527
up,6.397301507537689,2.6873560019217795,1.2556767619603162
up,6.520030150753769,2.7329325732061465,1.2817188454082766
up,6.64275879396985,2.779124891729839,1.3083508069317331
up,6.76548743718593,2.8259329574928573,1.3355726465306863
up,6.88821608040201,2.8672575347251548,1.359383585142613
up,7.01094472361809,2.9033965405325732,1.3807388040777004
up,7.133673366834171,2.935009529102127,1.4002460093120273
up,7.256402010050252,2.9659324340995914,1.42013540625077
up,7.379130653266332,2.997022958060004,1.439875730031027
up,7.5018592964824125,3.0271250667132206,1.4583955270209046
up,7.624587939698493,3.0552963757567526,1.475154938008442
up,7.747316582914573,3.0854201908561953,1.4928853127195425
up,7.870045226130653,3.1200608586081326,1.5132687281486792
up,7.992773869346735,3.159218379012565,1.5363051842958517
up,8.115502512562815,3.1995773648886736,1.5599773699630077
up,8.238231155778895,3.237761829033712,1.5822426206998599
up,8.360959798994974,3.2737717714476804,1.6031009365064082
up,8.483688442211056,3.3066754420830993,1.6220619555370661
up,8.606417085427136,3.333248416247165,1.6374045167939077
up,8.729145728643216,3.3534906939398783,1.6491286202769324
up,8.851874371859298,3.3698244705181035,1.658761006119921
up,8.974603015075377,3.387469925919357,1.6697072320302087
up,9.097331658291457,3.405963813952726,1.6817778385966433
up,9.220060301507537,3.425306134618211,1.6949728258192254
up,9.342788944723619,3.447739371048798,1.7104439670540317
up,9.465517587939699,3.4802211260576397,1.7316825329480645
up,9.588246231155779,3.5227513996447364,1.7586885235013243
up,9.71097487437186,3.569834650323357,1.7879350353661112
up,9.83370351758794,3.6128692179177673,1.813941693431251
up,9.95643216080402,3.651855102427966,1.8367084976967432
up,10.0791608040201,3.6891385763027587,1.8580121910170058
up,10.201889447236182,3.7269122184716434,1.879670514211924
up,10.324618090452262,3.763658780918722,1.9011827869690416
up,10.447346733668342,3.7993782636439923,1.9225490092883588
up,10.570075376884423,3.8340530850268095,1.9434907982905536
up,10.692804020100503,3.8673191372556106,1.9634926660999366
up,10.815532663316583,3.899176420330395,1.9825546127165077
up,10.938261306532665,3.927278661802359,1.9988998952858497
up,11.060989949748745,3.9484512956054485,2.0115132030112384
up,11.183718592964825,3.9625202247743467,2.020656681368566
up,11.306447236180905,3.969929316488698,2.0258912352981135
up,11.429175879396986,3.974524650047907,2.028748378155256
up,11.551904522613066,3.9795312670167995,2.031605521012399
up,11.674633165829146,3.9849491673953743,2.0344626638695416
up,11.797361809045228,3.99402504755216,2.0407215813370168
up,11.920090452261308,4.007492729521102,2.0495842153392547
up,12.042819095477387,4.025526310267518,2.0607884204003635
up,12.16554773869347,4.048275159408044,2.074856363606383
up,12.288276381909549,4.076246619916831,2.092711867096822
up,12.411005025125629,4.109440691793876,2.1143549308716807
up,12.53373366834171,4.147857375039179,2.1397855549309597
up,12.65646231155779,4.192896713860192,2.168337851316786
up,12.77919095477387,4.2448147061563875,2.2001073822522037
up,12.90191959798995,4.303611351927766,2.2350941477372133
up,13.024648241206032,4.367248919350158,2.2723690742871834
up,13.147376884422112,4.423094696953795,2.305096145620127
up,13.270105527638192,4.471148684738677,2.3332753617360433
up,13.392834170854274,4.511685877251632,2.357098965245635
up,13.515562814070353,4.540492895680749,2.3741340231290238
up,13.638291457286433,4.55719355844614,2.384159048917043
up,13.761020100502513,4.563742067236857,2.38823543718232
up,13.883748743718595,4.564233780252658,2.388648964918704
up,14.006477386934675,4.5700389144402696,2.3920588590065384
up,14.129206030150755,4.580924986382259,2.3983863283394182
up,14.251934673366836,4.5958386053010365,2.4071753235331506
up,14.374663316582916,4.61434640943254,2.418122890955153
up,14.497391959798996,4.636448398776768,2.431229030605425
up,14.620120603015076,4.66000790086711,2.445307472418835
up,14.742849246231158,4.6821577888826225,2.458770438916464
up,14.865577889447238,4.702898062823305,2.471617930098312
up,14.988306532663318,4.7224612061065905,2.483928737070783
up,15.1110351758794,4.743067556385314,2.496843024974347
up,15.23376381909548,4.764823008180156,2.5104251525601944
up,15.356492462311559,4.787727561491118,2.5246751198283244
up,15.479221105527639,4.81109296880883,2.5389641726196275
up,15.60194974874372,4.834518028164805,2.5529058800933866
up,15.7246783919598,4.858002739559043,2.5665002422496013
up,15.84740703517588,4.882251865107411,2.580316075083032
up,15.970135678391962,4.908334951277726,2.595504050979714
up,16.09286432160804,4.93614610354931,2.611999811188456
up,16.215592964824122,4.9656853219221615,2.6298033557092584
up,16.3383216080402,4.990665466390275,2.6448234078057014
up,16.46105025125628,5.011190101831001,2.6572465586482092
up,16.583778894472363,5.0272592282443425,2.6670728082367807
up,16.70650753768844,5.043989716988724,2.6774741623074436
up,16.829236180904523,5.060297024230954,2.687340505155086
up,16.951964824120605,5.076181149971033,2.6966718367797062
up,17.074693467336683,5.091642094208963,2.705468157181305
up,17.197422110552765,5.112530358783147,2.7170552944281265
up,17.320150753768846,5.139286486751971,2.7316958524286488
up,17.442879396984925,5.171910478115436,2.7493898311828717
up,17.565608040201006,5.2032084605664775,2.7660769579856734
up,17.688336683417088,5.230992855875763,2.7806632456048135
up,17.811065326633166,5.255263664043292,2.79314869404029
up,17.933793969849248,5.2758720387136515,2.803590116133677
up,18.05652261306533,5.293389400641384,2.813787487901012
up,18.179251256281407,5.307889107508322,2.823826047047492
up,18.30197989949749,5.321334240383943,2.8342223670770696
up,18.424708542713567,5.335887426543184,2.8455038851412153
up,18.54743718592965,5.352309300158675,2.8578476734242724
up,18.67016582914573,5.370599861230416,2.871253731926241
up,18.79289447236181,5.391890554560037,2.8855357107601627
up,18.91562311557789,5.417006569454031,2.900400945827631
up,19.038351758793972,5.44600221335529,2.9160515837500043
up,19.16108040201005,5.477273110978603,2.933306248530202
up,19.283809045226132,5.510028873881808,2.951956953991089
up,19.406537688442214,5.544269502064906,2.972003700132664
up,19.52926633165829,5.579994995527896,2.993446486954928
up,19.651994974874373,5.612070595496465,3.0129167684318623
up,19.774723618090455,5.639812114763223,3.029925095455289
up,19.897452261306533,5.663213170280827,3.0443559514903957
up,20.020180904522615,5.682403219279721,3.0557565623500342
up,20.142909547738697,5.697382261759906,3.0641269280342054
up,20.265638190954775,5.708150297721381,3.0694670485429083
up,20.388366834170856,5.718518924701486,3.0742562766216333
up,20.511095477386938,5.734849536375032,3.0834297486271693
up,20.633824120603016,5.757737066342899,3.097488680069852
up,20.756552763819098,5.7849253538406185,3.114732893730993
up,20.87928140703518,5.813824561750585,3.1327442836668817
up,21.002010050251258,5.8444346900728,3.151522849877518
up,21.12473869346734,5.876755738807263,3.1710685923629023
up,21.24746733668342,5.908627049133805,3.1902053007119067
up,21.3701959798995,5.939412107528769,3.2087373231280076
up,21.49292462311558,5.969110913992158,3.2266646596112056
up,21.61565326633166,5.99789643810762,3.2443972169138693
up,21.73838190954774,6.026703482838485,3.2627805994689
up,21.861110552763822,6.055532048184753,3.281814807276298
up,21.9838391959799,6.08351322225612,3.300668448249336
up,22.106567839195982,6.108885853749918,3.3179329264714617
