sample_id,time_s,hold_id,s_ref_mm
1,0,1,4.395
2,0.01,1,4.395
3,0.02,1,4.395
4,0.03,1,4.395
5,0.04,1,4.395
6,0.05,1,4.395
7,0.06,1,4.395
8,0.07,1,4.395
9,0.08,1,4.395
10,0.09,1,4.395
11,0.1,1,4.395
12,0.11,1,4.395
13,0.12,1,4.395
14,0.13,1,4.395
15,0.14,1,4.395
16,0.15,1,4.395
17,0.16,1,4.395
18,0.17,1,4.395
19,0.18,1,4.395
20,0.19,1,4.395
21,0.2,1,4.395
22,0.21,1,4.395
23,0.22,1,4.395
24,0.23,1,4.395
25,0.24,1,4.395
26,0.25,1,4.395
27,0.26,1,4.395
28,0.27,1,4.395
29,0.28,1,4.395
30,0.29,1,4.395
31,0.3,1,4.395
32,0.31,1,4.395
33,0.32,1,4.395
34,0.33,1,4.395
35,0.34,1,4.395
36,0.35000000000000003,1,4.395
37,0.36,1,4.395
38,0.37,1,4.395
39,0.38,1,4.395
40,0.39,1,4.395
41,0.4,1,4.395
42,0.41000000000000003,1,4.395
43,0.42,1,4.395
44,0.43,1,4.395
45,0.44,1,4.395
46,0.45,1,4.395
47,0.46,1,4.395
48,0.47000000000000003,1,4.395
49,0.48,1,4.395
50,0.49,1,4.395
51,0.5,1,4.395
52,0.51,1,4.395
53,0.52,1,4.395
54,0.53,1,4.395
55,0.54,1,4.395
56,0.55,1,4.395
57,0.56,1,4.395
58,0.5700000000000001,1,4.395
59,0.58,1,4.395
60,0.59,1,4.395
61,0.6,1,4.395
62,0.61,1,4.395
63,0.62,1,4.395
64,0.63,1,4.395
65,0.64,1,4.395
66,0.65,1,4.395
67,0.66,1,4.395
68,0.67,1,4.395
69,0.68,1,4.395
70,0.6900000000000001,1,4.395
71,0.7000000000000001,1,4.395
72,0.71,1,4.395
73,0.72,1,4.395
74,0.73,1,4.395
75,0.74,1,4.395
76,0.75,1,4.395
77,0.76,1,4.395
78,0.77,1,4.395
79,0.78,1,4.395
80,0.79,1,4.395
81,0.8,1,4.395
82,0.81,1,4.395
83,0.8200000000000001,1,4.395
84,0.8300000000000001,1,4.395
85,0.84,1,4.395
86,0.85,1,4.395
87,0.86,1,4.395
88,0.87,1,4.395
89,0.88,1,4.395
90,0.89,1,4.395
91,0.9,1,4.395
92,0.91,1,4.395
93,0.92,1,4.395
94,0.93,1,4.395
95,0.9400000000000001,1,4.395
96,0.9500000000000001,1,4.395
97,0.96,1,4.395
98,0.97,1,4.395
99,0.98,1,4.395
100,0.99,1,4.395
101,1,1,4.395
102,1.01,1,4.395
103,1.02,1,4.395
104,1.03,1,4.395
105,1.04,1,4.395
106,1.05,1,4.395
107,1.06,1,4.395
108,1.07,1,4.395
109,1.08,1,4.395
110,1.09,1,4.395
111,1.1,1,4.395
112,1.11,1,4.395
113,1.12,1,4.395
114,1.1300000000000001,1,4.395
115,1.1400000000000001,1,4.395
116,1.1500000000000001,1,4.395
117,1.16,1,4.395
118,1.17,1,4.395
119,1.18,1,4.395
120,1.19,1,4.395
121,1.2,1,4.395
122,1.21,1,4.395
123,1.22,1,4.395
124,1.23,1,4.395
125,1.24,1,4.395
126,1.25,1,4.395
127,1.26,1,4.395
128,1.27,1,4.395
129,1.28,1,4.395
130,1.29,1,4.395
131,1.3,1,4.395
132,1.31,1,4.395
133,1.32,1,4.395
134,1.33,1,4.395
135,1.34,1,4.395
136,1.35,1,4.395
137,1.36,1,4.395
138,1.37,1,4.395
139,1.3800000000000001,1,4.395
140,1.3900000000000001,1,4.395
141,1.4000000000000001,1,4.395
142,1.41,1,4.395
143,1.42,1,4.395
144,1.43,1,4.395
145,1.44,1,4.395
146,1.45,1,4.395
147,1.46,1,4.395
148,1.47,1,4.395
149,1.48,1,4.395
150,1.49,1,4.395
151,1.5,1,4.395
152,1.51,1,4.395
153,1.52,1,4.395
154,1.53,1,4.395
155,1.54,1,4.395
156,1.55,1,4.395
157,1.56,1,4.395
158,1.57,1,4.395
159,1.58,1,4.395
160,1.59,1,4.395
161,1.6,1,4.395
162,1.61,1,4.395
163,1.62,1,4.395
164,1.6300000000000001,1,4.395
165,1.6400000000000001,1,4.395
166,1.6500000000000001,1,4.395
167,1.6600000000000001,1,4.395
168,1.67,1,4.395
169,1.68,1,4.395
170,1.69,1,4.395
171,1.7,1,4.395
172,1.71,1,4.395
173,1.72,1,4.395
174,1.73,1,4.395
175,1.74,1,4.395
176,1.75,1,4.395
177,1.76,1,4.395
178,1.77,1,4.395
179,1.78,1,4.395
180,1.79,1,4.395
181,1.8,1,4.395
182,1.81,1,4.395
183,1.82,1,4.395
184,1.83,1,4.395
185,1.84,1,4.395
186,1.85,1,4.395
187,1.86,1,4.395
188,1.87,1,4.395
189,1.8800000000000001,1,4.395
190,1.8900000000000001,1,4.395
191,1.9000000000000001,1,4.395
192,1.9100000000000001,1,4.395
193,1.92,1,4.395
194,1.93,1,4.395
195,1.94,1,4.395
196,1.95,1,4.395
197,1.96,1,4.395
198,1.97,1,4.395
199,1.98,1,4.395
200,1.99,1,4.395
201,2,1,4.395
202,2.0100000000000002,1,4.395
203,2.02,1,4.395
204,2.0300000000000002,1,4.395
205,2.04,1,4.395
206,2.05,1,4.395
207,2.06,1,4.395
208,2.07,1,4.395
209,2.08,1,4.395
210,2.09,1,4.395
211,2.1,1,4.395
212,2.11,1,4.395
213,2.12,1,4.395
214,2.13,1,4.395
215,2.14,1,4.395
216,2.15,1,4.395
217,2.16,1,4.395
218,2.17,1,4.395
219,2.18,1,4.395
220,2.19,1,4.395
221,2.2,1,4.395
222,2.21,1,4.395
223,2.22,1,4.395
224,2.23,1,4.395
225,2.24,1,4.395
226,2.25,1,4.395
227,2.2600000000000002,1,4.395
228,2.27,1,4.395
229,2.2800000000000002,1,4.395
230,2.29,1,4.395
231,2.3000000000000003,1,4.395
232,2.31,1,4.395
233,2.32,1,4.395
234,2.33,1,4.395
235,2.34,1,4.395
236,2.35,1,4.395
237,2.36,1,4.395
238,2.37,1,4.395
239,2.38,1,4.395
240,2.39,1,4.395
241,2.4,1,4.395
242,2.41,1,4.395
243,2.42,1,4.395
244,2.43,1,4.395
245,2.44,1,4.395
246,2.45,1,4.395
247,2.46,1,4.395
248,2.47,1,4.395
249,2.48,1,4.395
250,2.49,1,4.395
251,2.5,1,4.395
252,2.5100000000000002,1,4.395
253,2.52,1,4.395
254,2.5300000000000002,1,4.395
255,2.54,1,4.395
256,2.5500000000000003,1,4.395
257,2.56,1,4.395
258,2.57,1,4.395
259,2.58,1,4.395
260,2.59,1,4.395
261,2.6,1,4.395
262,2.61,1,4.395
263,2.62,1,4.395
264,2.63,1,4.395
265,2.64,1,4.395
266,2.65,1,4.395
267,2.66,1,4.395
268,2.67,1,4.395
269,2.68,1,4.395
270,2.69,1,4.395
271,2.7,1,4.395
272,2.71,1,4.395
273,2.72,1,4.395
274,2.73,1,4.395
275,2.74,1,4.395
276,2.75,1,4.395
277,2.7600000000000002,1,4.395
278,2.77,1,4.395
279,2.7800000000000002,1,4.395
280,2.79,1,4.395
281,2.8000000000000003,1,4.395
282,2.81,1,4.395
283,2.82,1,4.395
284,2.83,1,4.395
285,2.84,1,4.395
286,2.85,1,4.395
287,2.86,1,4.395
288,2.87,1,4.395
289,2.88,1,4.395
290,2.89,1,4.395
291,2.9,1,4.395
292,2.91,1,4.395
293,2.92,1,4.395
294,2.93,1,4.395
295,2.94,1,4.395
296,2.95,1,4.395
297,2.96,1,4.395
298,2.97,1,4.395
299,2.98,1,4.395
300,2.99,1,4.395
301,3,1,4.395
302,3.0100000000000002,1,4.395
303,3.02,1,4.395
304,3.0300000000000002,1,4.395
305,3.04,1,4.395
306,3.0500000000000003,1,4.395
307,3.06,1,4.395
308,3.0700000000000003,1,4.395
309,3.08,1,4.395
310,3.09,1,4.395
