hold_id,u_ss_v,u_prev_v,du_v,branch,n_samples,tail_fraction_used,tail_n_samples,s_ss_mm,p_ss_bar,s_tail_std_mm,p_tail_std_bar,s_tail_slope_mm_s,p_tail_slope_bar_s,steady_enough,dataset_role
2,4.074,0.0,4.074,up,400,0.05,20,9.967999999999998,2.1000000000000005,0.009797958971132503,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
3,2.053,4.074,-2.021,down,400,0.05,20,4.263000000000001,0.8800000000000001,0.007141428428543015,1.1102230246251565e-16,-0.10000000000000231,0.0,True,single_design_dataset
4,1.538,2.053,-0.5149999999999999,down,400,0.05,20,2.919,0.58,0.004358898943540677,0.0,0.0,0.0,True,single_design_dataset
5,2.58,1.538,1.042,up,400,0.05,20,5.019999999999999,1.1999999999999997,8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
6,6.557,2.58,3.9770000000000003,up,400,0.05,20,22.044999999999998,3.5799999999999996,0.01774823934929847,4.440892098500626e-16,0.2999999999999936,0.0,True,single_design_dataset
7,5.764,6.557,-0.7930000000000001,down,400,0.05,20,19.68,3.1199999999999997,0.0,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
8,6.43,5.764,0.6659999999999995,up,400,0.05,20,22.315,3.5200000000000005,0.008660254037844203,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
9,7.088,6.43,0.6580000000000004,up,400,0.05,20,25.77,3.900000000000001,0.009999999999999787,8.881784197001252e-16,0.09999999999999787,0.0,True,single_design_dataset
10,6.548,7.088,-0.54,down,400,0.05,20,24.5,3.5799999999999996,0.0,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
11,5.598,6.548,-0.9500000000000002,down,400,0.05,20,20.480000000000004,3.0200000000000005,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
12,6.232,5.598,0.6340000000000003,up,400,0.05,20,22.639999999999997,3.4,3.552713678800501e-15,0.0,0.0,0.0,True,single_design_dataset
13,4.968,6.232,-1.2640000000000002,down,400,0.05,20,17.433000000000003,2.6350000000000002,0.009539392014169255,0.008660254037844393,-0.09999999999999787,0.10000000000000009,True,single_design_dataset
14,6.087,4.968,1.1189999999999998,up,400,0.05,20,21.860000000000003,3.2999999999999994,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
