sequence_id,t_ms,keep_for_summary,is_max_row,exclude_reason
1,0.199,TRUE,FALSE,NA
2,0.277,TRUE,FALSE,NA
3,0.235,TRUE,FALSE,NA
4,0.261,TRUE,FALSE,NA
5,0.191,TRUE,FALSE,NA
6,0.276,TRUE,FALSE,NA
7,0.171,TRUE,FALSE,NA
8,0.252,TRUE,FALSE,NA
9,0.187,TRUE,FALSE,NA
10,0.278,TRUE,FALSE,NA
11,0.365,TRUE,FALSE,NA
12,0.255,TRUE,FALSE,NA
13,0.191,TRUE,FALSE,NA
14,0.274,TRUE,FALSE,NA
15,0.172,TRUE,FALSE,NA
16,0.286,TRUE,FALSE,NA
17,0.191,TRUE,FALSE,NA
18,0.279,TRUE,FALSE,NA
19,0.171,TRUE,FALSE,NA
20,0.251,TRUE,FALSE,NA
21,0.193,TRUE,FALSE,NA
22,0.276,TRUE,FALSE,NA
23,0.17,TRUE,FALSE,NA
24,0.25,TRUE,FALSE,NA
25,0.19,TRUE,FALSE,NA
26,0.272,TRUE,FALSE,NA
27,0.206,TRUE,FALSE,NA
28,0.317,TRUE,FALSE,NA
29,0.19,TRUE,FALSE,NA
30,0.279,TRUE,FALSE,NA
31,0.17,TRUE,FALSE,NA
32,0.281,TRUE,FALSE,NA
33,0.291,TRUE,FALSE,NA
34,0.215,TRUE,FALSE,NA
35,0.28,TRUE,FALSE,NA
36,0.173,TRUE,FALSE,NA
37,0.255,TRUE,FALSE,NA
38,0.217,TRUE,FALSE,NA
39,0.276,TRUE,FALSE,NA
40,0.173,TRUE,FALSE,NA
41,0.252,TRUE,FALSE,NA
42,0.255,TRUE,FALSE,NA
43,0.281,TRUE,FALSE,NA
44,0.172,TRUE,FALSE,NA
45,0.255,TRUE,FALSE,NA
46,0.191,TRUE,FALSE,NA
47,0.275,TRUE,FALSE,NA
48,0.166,TRUE,FALSE,NA
49,0.252,TRUE,FALSE,NA
50,0.199,TRUE,FALSE,NA
51,0.284,TRUE,FALSE,NA
52,0.17,TRUE,FALSE,NA
53,0.286,TRUE,FALSE,NA
54,0.17,TRUE,FALSE,NA
55,0.251,TRUE,FALSE,NA
56,0.281,TRUE,FALSE,NA
57,1.319,TRUE,TRUE,NA
58,0.228,TRUE,FALSE,NA
59,0.292,TRUE,FALSE,NA
60,0.217,TRUE,FALSE,NA
61,0.247,TRUE,FALSE,NA
62,0.208,TRUE,FALSE,NA
63,0.232,TRUE,FALSE,NA
64,0.266,TRUE,FALSE,NA
65,0.289,TRUE,FALSE,NA
66,0.161,TRUE,FALSE,NA
67,0.248,TRUE,FALSE,NA
68,0.205,TRUE,FALSE,NA
69,0.231,TRUE,FALSE,NA
70,0.283,TRUE,FALSE,NA
71,0.164,TRUE,FALSE,NA
72,0.249,TRUE,FALSE,NA
73,0.205,TRUE,FALSE,NA
74,0.282,TRUE,FALSE,NA
75,0.164,TRUE,FALSE,NA
76,0.244,TRUE,FALSE,NA
77,0.205,TRUE,FALSE,NA
78,0.485,TRUE,FALSE,NA
79,0.259,TRUE,FALSE,NA
80,0.171,TRUE,FALSE,NA
81,0.247,TRUE,FALSE,NA
82,0.207,TRUE,FALSE,NA
83,0.285,TRUE,FALSE,NA
84,0.165,TRUE,FALSE,NA
85,0.246,TRUE,FALSE,NA
86,0.205,TRUE,FALSE,NA
87,0.229,TRUE,FALSE,NA
88,0.286,TRUE,FALSE,NA
89,0.164,TRUE,FALSE,NA
90,0.247,TRUE,FALSE,NA
91,0.206,TRUE,FALSE,NA
92,0.232,TRUE,FALSE,NA
93,0.229,TRUE,FALSE,NA
94,0.227,TRUE,FALSE,NA
95,0.231,TRUE,FALSE,NA
96,0.227,TRUE,FALSE,NA
97,0.229,TRUE,FALSE,NA
98,0.281,TRUE,FALSE,NA
99,0.213,TRUE,FALSE,NA
100,0.333,TRUE,FALSE,NA
101,0.895,TRUE,FALSE,NA
102,0.244,TRUE,FALSE,NA
103,0.247,TRUE,FALSE,NA
104,0.21,TRUE,FALSE,NA
105,0.235,TRUE,FALSE,NA
106,0.227,TRUE,FALSE,NA
