branch,time_since_step_s,elapsed_after_creep_start_s,creep_fraction,selected_model,pressure_plateau_start_s,calibrated_horizon_s,runtime_horizon_s,interval
up,0,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.01,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.02,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.03,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.04,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.05,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.06,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.07,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.08,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.09,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.1,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.11,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.12,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.13,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.14,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.15,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.16,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.17,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.18,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.19,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.2,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.21,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.22,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.23,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.24,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.25,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.26,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.27,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
up,0.28,0,0,single_exponential,0.31,3.99,3.99,pre_pressure_plateau_no_correction
