hold_id,branch,n_samples,full_modal_n,is_full_hold,u_prev_v,u_cmd_v,delta_u_v,duration_s,tail_n_samples,s_start_mm,s_terminal_mm,p_start_bar,p_terminal_bar,displacement_step_mm,s_terminal_sd_mm,p_terminal_sd_bar,s_terminal_slope_mm_s,p_terminal_slope_bar_s,accepted_for_creep,exclusion_reason
1,start,1,400,FALSE,0,0,0,0.01,5,-0,0,-0.3,-0.3,0,NA,NA,0,0,FALSE,startup_or_zero_command_hold
2,up,400,400,TRUE,0,4.074,4.074,4,20,-0.01,9.968,-0.3,2.1,9.978,0.010052493799000478,0,0.14436090225564413,0,TRUE,NA
3,down,400,400,TRUE,4.074,2.053,-2.021,4,20,9.98,4.263,2.1,0.88,-5.7170000000000005,0.007326950970650634,0,-0.07368421052631982,0,TRUE,NA
4,down,400,400,TRUE,2.053,1.538,-0.5149999999999999,4,20,4.26,2.919,0.88,0.58,-1.3409999999999997,0.004472135954999583,0,-0.019548872180450035,0,TRUE,NA
5,up,400,400,TRUE,1.538,2.58,1.042,4,20,2.92,5.02,0.58,1.2,2.0999999999999996,0,0,0,0,TRUE,NA
6,up,400,400,TRUE,2.58,6.557,3.9770000000000003,4,20,5.02,22.044999999999998,1.2,3.58,17.025,0.018209309360006132,0,0.29022556390974535,0,TRUE,NA
7,down,400,400,TRUE,6.557,5.764,-0.7930000000000001,4,20,22.08,19.68,3.58,3.12,-2.3999999999999986,0,0,0,0,TRUE,NA
8,up,400,400,TRUE,5.764,6.43,0.6659999999999995,4,20,19.68,22.315,3.12,3.52,2.6350000000000016,0.008885233166386196,0,0.11278195488721825,0,TRUE,NA
9,up,400,400,TRUE,6.43,7.088,0.6580000000000004,4,20,22.32,25.770000000000003,3.52,3.9,3.450000000000003,0.010259783520851322,0,0.15037593984964817,0,TRUE,NA
10,down,400,400,TRUE,7.088,6.548,-0.54,4,20,25.78,24.5,3.9,3.58,-1.2800000000000011,0,0,0,0,TRUE,NA
11,down,400,400,TRUE,6.548,5.598,-0.9500000000000002,4,20,24.5,20.48,3.58,3.02,-4.02,0,0,0,0,TRUE,NA
12,up,400,400,TRUE,5.598,6.232,0.6340000000000003,4,20,20.48,22.64,3.02,3.4,2.16,0,0,0,0,TRUE,NA
13,down,400,400,TRUE,6.232,4.968,-1.2640000000000002,4,20,22.64,17.433,3.4,2.6350000000000002,-5.207000000000001,0.00978720969859165,0.008885233166386394,-0.1278195488722032,-0.007518796992482557,TRUE,NA
14,up,400,400,TRUE,4.968,6.087,1.1189999999999998,4,20,17.42,21.86,2.64,3.3,4.439999999999998,0,0,0,0,TRUE,NA
