branch,time_since_step_s,n_samples,n_holds,pressure_progress_median,pressure_progress_q10,pressure_progress_q90,terminal_relative_p_median_bar,terminal_relative_p_q10_bar,terminal_relative_p_q90_bar
down,0,408,408,0,-0,-0,0.8400000000000001,0.3999999999999999,1.8199999999999998
down,0.01,408,408,0,-0,-0,0.8400000000000001,0.3999999999999999,1.8199999999999998
down,0.02,408,408,0,-0,-0,0.8400000000000001,0.3999999999999999,1.8199999999999998
down,0.03,408,408,0,-0,0.02380952380952383,0.8300000000000001,0.3999999999999999,1.8199999999999998
down,0.04,408,408,0,-0,0.02519230769230755,0.8300000000000001,0.3999999999999999,1.8199999999999998
down,0.05,408,408,0.009049959049958957,-0,0.037078342282803295,0.83,0.3964,1.806
down,0.06,408,408,0.01438923395445136,-0,0.040000000000000036,0.8200000000000001,0.3856000000000001,1.806
down,0.07,408,408,0.018867924528301903,-0,0.04761904761904767,0.8200000000000001,0.3800000000000001,1.7999999999999998
down,0.08,408,408,0.02960901201016922,-0,0.07692307692307698,0.8199999999999998,0.3799999999999999,1.7860000000000005
down,0.09,408,408,0.045454545454545484,0.01267806267806269,0.14390243902439045,0.7820000000000001,0.3540000000000001,1.7600000000000002
down,0.1,408,408,0.06843460953050001,0.020833333333333353,0.2222222222222216,0.7600000000000001,0.3200000000000003,1.7200000000000002
down,0.11,408,408,0.10876232201533415,0.030153999006458054,0.30555555555555547,0.7200000000000002,0.2993999999999998,1.68
down,0.12,408,408,0.1571428571428573,0.043421795595708676,0.37175925925925934,0.6945000000000001,0.2799999999999998,1.6199999999999999
down,0.13,408,408,0.20512820512820518,0.0708333333333334,0.44796572280178876,0.6599999999999999,0.2599999999999998,1.56
down,0.14,408,408,0.25641025641025633,0.10526315789473686,0.4999999999999999,0.6194999999999998,0.23999999999999977,1.5
down,0.15,408,408,0.2914029535864978,0.13876068376068362,0.5483870967741934,0.5749999999999998,0.2200000000000002,1.46
down,0.16,408,408,0.33333333333333315,0.16666666666666655,0.5806451612903227,0.53,0.2200000000000002,1.4
down,0.17,408,408,0.3671373555840822,0.2,0.6071428571428571,0.48,0.21999999999999997,1.346
down,0.18,408,408,0.40000000000000013,0.23058334070992292,0.6304347826086953,0.43999999999999995,0.21999999999999992,1.2999999999999998
down,0.19,408,408,0.4285714285714286,0.25488112064520196,0.65625,0.3999999999999999,0.21999999999999975,1.2460000000000002
down,0.2,408,408,0.46402691511387173,0.28054072096128174,0.6777612424914767,0.353,0.21999999999999975,1.2
down,0.21,408,408,0.47826086956521735,0.301961175956557,0.6945856873822978,0.31999999999999995,0.21999999999999975,1.1460000000000001
down,0.22,408,408,0.5000000000000004,0.3185155086008398,0.7063127690100433,0.28,0.21999999999999975,1.106
down,0.23,408,408,0.5240274599542336,0.3362773774702147,0.7221511627906979,0.26,0.21999999999999975,1.0660000000000003
down,0.24,408,408,0.5435606060606062,0.3558823529411769,0.7306233062330624,0.2599999999999999,0.21999999999999975,1.02
down,0.25,408,408,0.5667415530395712,0.3627928772258665,0.7391304347826086,0.2400000000000002,0.2176999999999997,0.98
down,0.26,408,408,0.5858615376441209,0.3758663366336634,0.746268656716418,0.24,0.20000000000000018,0.94
down,0.27,408,408,0.5999999999999999,0.3882806163828059,0.75,0.24,0.20000000000000018,0.8860000000000001
down,0.28,408,408,0.6099033816425123,0.39549267640461205,0.7666049953746532,0.24,0.20000000000000018,0.8460000000000001
down,0.29,408,408,0.6250000000000001,0.41218920557913885,0.7719942808997371,0.24,0.20000000000000007,0.806
down,0.3,408,408,0.6385933806146573,0.43032450331125827,0.7761184819500158,0.23999999999999977,0.20000000000000007,0.7520000000000006
down,0.31,408,408,0.6460496379792051,0.4428792569659443,0.7924528301886795,0.2345000000000001,0.19999999999999996,0.72
down,0.32,408,408,0.6562500000000001,0.44999999999999996,0.7962962962962962,0.2200000000000002,0.19999999999999996,0.6860000000000002
down,0.33,408,408,0.6666666666666667,0.464492849451193,0.7978125,0.2200000000000002,0.19999999999999973,0.6460000000000002
down,0.34,408,408,0.6761769223818561,0.4748826291079812,0.8088730998017184,0.2200000000000002,0.19999999999999973,0.6060000000000002
down,0.35000000000000003,408,408,0.684877245274139,0.4828129927467676,0.8125,0.2200000000000002,0.19999999999999973,0.5660000000000001
down,0.36,408,408,0.6923076923076923,0.4956953642384101,0.8155968169761274,0.21999999999999997,0.19999999999999973,0.5460000000000003
down,0.37,408,408,0.700515463917526,0.4999999999999994,0.8196721311475411,0.21999999999999997,0.19999999999999973,0.52
down,0.38,408,408,0.7065997130559541,0.5,0.8253968253968255,0.21999999999999997,0.19999999999999973,0.4860000000000002
down,0.39,408,408,0.714285714285714,0.5,0.8290566037735849,0.21999999999999997,0.19999999999999973,0.45999999999999996
down,0.4,408,408,0.7179487179487178,0.5000000000000002,0.8307692307692307,0.21999999999999997,0.18599999999999997,0.41999999999999993
down,0.41000000000000003,408,408,0.7222222222222222,0.5000000000000002,0.8333333333333333,0.21999999999999997,0.18000000000000016,0.39160000000000017
down,0.42,408,408,0.7236111111111112,0.5126943005181347,0.8333333333333335,0.21999999999999975,0.18000000000000016,0.3599999999999999
down,0.43,408,408,0.7250000000000001,0.5190767781441357,0.8384561808485234,0.21999999999999975,0.18000000000000016,0.3316000000000001
down,0.44,408,408,0.7303309665597802,0.5225108225108221,0.8401739130434782,0.21799999999999997,0.1800000000000001,0.30000000000000004
down,0.45,408,408,0.7335007173601147,0.5238095238095237,0.8414935064935063,0.20850000000000002,0.17999999999999997,0.28
down,0.46,408,408,0.7366604082127066,0.5238095238095238,0.8450704225352113,0.20000000000000018,0.17999999999999994,0.2624000000000002
down,0.47000000000000003,408,408,0.7413265306122452,0.5238095238095238,0.8484848484848484,0.20000000000000018,0.17999999999999994,0.26
down,0.48,408,408,0.7433795712484236,0.5296844565640825,0.8501724137931033,0.20000000000000018,0.17999999999999994,0.25160000000000005
down,0.49,408,408,0.743887895050686,0.5454545454545455,0.8520473111812759,0.20000000000000018,0.17999999999999994,0.24
down,0.5,408,408,0.7461388247825316,0.5454545454545455,0.8533333333333335,0.20000000000000018,0.17999999999999972,0.24
down,0.51,408,408,0.75,0.5486363636363634,0.857142857142857,0.19999999999999998,0.17999999999999972,0.24
down,0.52,408,408,0.753363389151281,0.5499999999999999,0.8571428571428571,0.19999999999999996,0.17999999999999972,0.24
down,0.53,408,408,0.756756756756757,0.55,0.8582826520438684,0.19999999999999996,0.17999999999999972,0.24
down,0.54,408,408,0.7601816180517336,0.5500000000000003,0.8595346457329062,0.19999999999999996,0.17999999999999972,0.24
down,0.55,408,408,0.764156353036747,0.5624999999999998,0.8611111111111113,0.19999999999999996,0.17999999999999972,0.23999999999999996
down,0.56,408,408,0.7678268904974588,0.562689393939394,0.862198275862069,0.19999999999999996,0.17939999999999964,0.23120000000000002
down,0.5700000000000001,408,408,0.7692307692307694,0.562689393939394,0.863013698630137,0.19999999999999996,0.16000000000000014,0.23120000000000002
