level,run_id,file,step_v,settle_ms,direction,calibration_source,slope_bar_per_v,intercept_bar,pressure_floor_bar,n_points,u_min_v,u_max_v,window_high_v_used,raw_voltage_mean_v,raw_voltage_min_v,raw_voltage_max_v,calibrated_pressure_mean_bar,calibrated_pressure_min_bar,calibrated_pressure_max_bar,calibrated_pressure_span_bar,clamped_point_frac,above_zero_pressure_threshold_frac,in_sensor_voltage_range_frac,in_sensor_pressure_range_frac,monotonic_correlation_u_vs_p_bar,voltage_range_ok,pressure_range_ok,monotonic_ok,validation_ok,review_needed
run_direction,step_0.01V_settle_200ms,static_threshold_hysteresis_step_0p01v_settle_time_200ms_p_voltage.csv,0.01,200,up,Schmalz VP8 datasheet,0.9,-1,0,1001,0.01,10.01,8.363223659138972,4.06229995004995,0.7885,7.21475,2.666433941058941,0,5.493275000000001,5.493275000000001,0.058941058941058944,0.9410589410589411,1,1,0.9995903536822633,TRUE,TRUE,TRUE,TRUE,FALSE
run_direction,step_0.01V_settle_200ms,static_threshold_hysteresis_step_0p01v_settle_time_200ms_p_voltage.csv,0.01,200,down,Schmalz VP8 datasheet,0.9,-1,0,1001,0,10,8.363223659138972,4.113377372627372,0.7897500000000001,7.21475,2.709577072927073,0,5.493275000000001,5.493275000000001,0.04995004995004995,0.9500499500499501,1,1,0.9996829691194068,TRUE,TRUE,TRUE,TRUE,FALSE
run_direction,step_0.05V_settle_400ms,static_threshold_hysteresis_step_0p05v_settle_time_400ms_p_voltage.csv,0.05,400,up,Schmalz VP8 datasheet,0.9,-1,0,201,0,10,8.363223659138972,3.9967039800995026,0.7835000000000001,6.466,2.6075753731343285,0,4.8194,4.8194,0.05970149253731343,0.9402985074626866,1,1,0.9959474921880364,TRUE,TRUE,TRUE,TRUE,FALSE
run_direction,step_0.05V_settle_400ms,static_threshold_hysteresis_step_0p05v_settle_time_400ms_p_voltage.csv,0.05,400,down,Schmalz VP8 datasheet,0.9,-1,0,200,0,9.95,8.363223659138972,4.0265820833333335,0.7785,6.45375,2.632131,0,4.808375000000001,4.808375000000001,0.055,0.945,1,1,0.995434838123794,TRUE,TRUE,TRUE,TRUE,FALSE
run_direction,step_0.10V_settle_600ms,static_threshold_hysteresis_step_0p10v_settle_time_600ms_p_voltage.csv,0.1,600,up,Schmalz VP8 datasheet,0.9,-1,0,102,0,10.1,8.363223659138972,4.104553921568628,0.781,7.34025,2.7050036764705885,0,5.606225,5.606225,0.058823529411764705,0.9411764705882353,1,1,0.999619979084241,TRUE,TRUE,TRUE,TRUE,FALSE
run_direction,step_0.10V_settle_600ms,static_threshold_hysteresis_step_0p10v_settle_time_600ms_p_voltage.csv,0.1,600,down,Schmalz VP8 datasheet,0.9,-1,0,101,0,10,8.363223659138972,4.1019909240924095,0.7835000000000001,7.339,2.701605693069307,0,5.6051,5.6051,0.0594059405940594,0.9405940594059405,1,1,0.9996362461519658,TRUE,TRUE,TRUE,TRUE,FALSE
run,step_0.01V_settle_200ms,static_threshold_hysteresis_step_0p01v_settle_time_200ms_p_voltage.csv,0.01,200,combined,Schmalz VP8 datasheet,0.9,-1,0,2002,0,10.01,8.363223659138972,4.087838661338662,0.7885,7.21475,2.688005506993007,0,5.493275000000001,5.493275000000001,0.05444555444555445,0.9455544455544456,1,1,0.9995336802552455,TRUE,TRUE,TRUE,TRUE,FALSE
run,step_0.05V_settle_400ms,static_threshold_hysteresis_step_0p05v_settle_time_400ms_p_voltage.csv,0.05,400,combined,Schmalz VP8 datasheet,0.9,-1,0,401,0,10,8.363223659138972,4.011605777223608,0.7785,6.466,2.6198225685785537,0,4.8194,4.8194,0.057356608478802994,0.942643391521197,1,1,0.9956223750818519,TRUE,TRUE,TRUE,TRUE,FALSE
run,step_0.10V_settle_600ms,static_threshold_hysteresis_step_0p10v_settle_time_600ms_p_voltage.csv,0.1,600,combined,Schmalz VP8 datasheet,0.9,-1,0,203,0,10.1,8.363223659138972,4.103278735632184,0.781,7.34025,2.703313054187192,0,5.606225,5.606225,0.059113300492610835,0.9408866995073891,1,1,0.9995958224600261,TRUE,TRUE,TRUE,TRUE,FALSE
global,global_manufacturer_curve,NA,NA,NA,combined,Schmalz VP8 datasheet,0.9,-1,0,2606,0,10.1,8.363223659138972,4.077311013046815,0.7785,7.34025,2.6787062260168844,0,5.606225,5.606225,0.05525709900230238,0.9447429009976976,1,1,0.9987075944053623,TRUE,TRUE,TRUE,TRUE,FALSE
