xref[mm],s[mm],p[bar],u[V],t[ms] 
0.000,0.000,0.000,0.000,0.000
0.000,0.558,0.000,-0.300,10.000
5.000,0.558,0.000,-0.300,10.000
5.000,3.943,-0.000,-0.300,10.000
5.000,3.999,0.000,-0.300,10.000
5.000,3.999,-0.000,-0.300,10.000
5.000,3.999,0.000,-0.300,10.000
5.000,3.999,0.000,-0.300,10.000
5.000,3.999,0.000,-0.280,10.000
5.000,3.997,0.000,-0.280,10.000
5.000,3.997,0.000,-0.280,10.000
5.000,3.997,0.000,-0.280,10.000
5.000,3.998,0.000,-0.280,10.000
5.000,3.998,0.000,-0.240,10.000
5.000,3.994,0.120,-0.180,10.000
5.000,3.931,0.200,-0.100,10.000
5.000,3.886,0.340,-0.020,10.000
5.000,3.812,0.480,0.040,10.000
5.000,3.739,0.640,0.120,10.000
5.000,3.655,0.800,0.200,10.000
5.000,3.571,0.960,0.260,10.000
5.000,3.488,1.140,0.340,10.000
5.000,3.394,1.340,0.420,10.000
5.000,3.291,1.520,0.480,10.000
5.000,3.198,1.720,0.560,10.000
5.000,3.095,1.920,0.640,10.000
5.000,2.991,2.140,0.700,10.000
5.000,2.879,2.360,0.780,10.000
5.000,2.766,2.580,0.840,10.000
5.000,2.654,2.800,0.920,10.000
5.000,2.541,3.040,0.980,10.000
5.000,2.420,3.280,1.060,10.000
5.000,2.297,3.540,1.120,10.000
5.000,2.165,3.780,1.160,10.000
5.000,2.045,3.880,1.180,10.000
5.000,1.995,3.920,1.180,10.000
5.000,1.976,3.920,1.180,10.000
5.000,1.976,3.920,1.160,10.000
5.000,1.977,3.920,1.160,10.000
5.000,1.977,3.920,1.160,10.000
5.000,1.977,3.920,1.140,10.000
5.000,1.979,3.920,1.140,10.000
5.000,1.979,3.920,1.140,10.000
5.000,1.979,3.920,1.120,10.000
5.000,1.981,3.920,1.120,10.000
5.000,1.981,3.920,1.100,10.000
5.000,1.982,3.920,1.100,10.000
5.000,1.982,3.920,1.080,10.000
5.000,1.984,3.920,1.080,10.000
5.000,1.984,3.920,1.080,10.000
5.000,1.984,3.920,1.080,10.000
5.000,1.984,3.920,1.060,10.000
5.000,1.986,3.920,1.060,10.000
5.000,1.986,3.920,1.060,10.000
5.000,1.986,3.920,1.060,10.000
5.000,1.986,3.920,1.060,10.000
5.000,1.986,3.920,1.060,10.000
5.000,1.986,3.920,1.060,10.000
5.000,1.986,3.920,1.060,10.000
5.000,1.986,3.920,1.060,10.000
5.000,1.986,3.920,1.060,10.000
5.000,1.986,3.920,1.040,10.000
5.000,1.987,3.900,1.040,10.000
5.000,1.997,3.900,1.040,10.000
5.000,1.997,3.900,1.040,10.000
5.000,1.997,3.900,1.040,10.000
5.000,1.997,3.900,1.040,10.000
5.000,1.997,3.900,1.040,10.000
5.000,1.997,3.900,1.040,10.000
5.000,1.997,3.900,1.040,10.000
5.000,1.997,3.900,1.020,10.000
5.000,1.999,3.880,1.020,10.000
5.000,2.009,3.880,1.020,10.000
5.000,2.008,3.880,1.020,10.000
5.000,2.009,3.880,1.020,10.000
5.000,2.009,3.880,1.020,10.000
5.000,2.009,3.880,1.020,10.000
5.000,2.009,3.880,1.020,10.000
5.000,2.009,3.880,1.020,10.000
5.000,2.009,3.880,1.020,10.000
5.000,2.009,3.880,1.000,10.000
5.000,2.010,3.880,1.000,10.000
5.000,2.010,3.860,1.000,10.000
5.000,2.020,3.860,1.000,10.000
5.000,2.020,3.860,1.000,10.000
5.000,2.020,3.860,1.000,10.000
5.000,2.020,3.860,1.000,10.000
5.000,2.020,3.860,1.000,10.000
5.000,2.020,3.860,1.000,10.000
5.000,2.020,3.860,1.000,10.000
5.000,2.020,3.860,1.000,10.000
5.000,2.020,3.860,1.000,10.000
5.000,2.020,3.860,0.980,10.000
5.000,2.022,3.860,0.980,10.000
5.000,2.022,3.840,0.980,10.000
5.000,2.031,3.840,0.980,10.000
5.000,2.032,3.840,0.980,10.000
5.000,2.031,3.840,0.980,10.000
5.000,2.032,3.840,0.980,10.000
5.000,2.032,3.840,0.980,10.000
5.000,2.032,3.840,0.980,10.000
5.000,2.032,3.840,0.980,10.000
5.000,2.032,3.840,0.980,10.000
5.000,2.032,3.840,0.980,10.000
5.000,2.032,3.820,0.980,10.000
5.000,2.041,3.820,0.980,10.000
5.000,2.041,3.820,0.980,10.000
5.000,2.041,3.820,0.960,10.000
5.000,2.043,3.820,0.960,10.000
5.000,2.043,3.820,0.960,10.000
5.000,2.043,3.820,0.960,10.000
5.000,2.043,3.820,0.960,10.000
5.000,2.043,3.820,0.960,10.000
5.000,2.043,3.820,0.960,10.000
5.000,2.043,3.800,0.960,10.000
5.000,2.053,3.800,0.960,10.000
5.000,2.053,3.800,0.960,10.000
5.000,2.053,3.800,0.960,10.000
5.000,2.053,3.800,0.960,10.000
5.000,2.053,3.800,0.960,10.000
5.000,2.053,3.800,0.960,10.000
5.000,2.053,3.800,0.960,10.000
5.000,2.053,3.800,0.960,10.000
5.000,2.053,3.800,0.940,10.000
5.000,2.055,3.780,0.940,10.000
5.000,2.064,3.780,0.940,10.000
5.000,2.064,3.780,0.940,10.000
5.000,2.064,3.780,0.940,10.000
5.000,2.064,3.780,0.940,10.000
5.000,2.064,3.780,0.940,10.000
5.000,2.064,3.780,0.940,10.000
5.000,2.064,3.780,0.940,10.000
5.000,2.064,3.780,0.940,10.000
5.000,2.064,3.780,0.940,10.000
5.000,2.064,3.780,0.940,10.000
5.000,2.064,3.780,0.940,10.000
5.000,2.065,3.760,0.940,10.000
5.000,2.074,3.760,0.940,10.000
5.000,2.074,3.760,0.940,10.000
5.000,2.074,3.760,0.940,10.000
5.000,2.074,3.760,0.920,10.000
5.000,2.076,3.760,0.920,10.000
5.000,2.076,3.760,0.920,10.000
5.000,2.076,3.760,0.920,10.000
5.000,2.076,3.760,0.920,10.000
5.000,2.076,3.760,0.920,10.000
5.000,2.076,3.760,0.920,10.000
5.000,2.076,3.740,0.920,10.000
5.000,2.086,3.740,0.920,10.000
5.000,2.086,3.740,0.920,10.000
5.000,2.086,3.740,0.920,10.000
5.000,2.086,3.740,0.920,10.000
5.000,2.086,3.740,0.920,10.000
5.000,2.086,3.740,0.920,10.000
5.000,2.086,3.740,0.920,10.000
5.000,2.086,3.740,0.920,10.000
5.000,2.086,3.740,0.920,10.000
5.000,2.086,3.740,0.920,10.000
5.000,2.086,3.720,0.920,10.000
5.000,2.096,3.720,0.920,10.000
5.000,2.096,3.720,0.920,10.000
5.000,2.096,3.720,0.920,10.000
5.000,2.096,3.720,0.920,10.000
