xref[mm],s[mm],p[bar],u[V],t[ms] 
0.000,7.247,31.320,4.060,10.000
0.000,0.558,-0.020,-0.300,10.000
4.395,0.558,-0.020,-0.300,10.000
4.395,3.306,-0.020,-0.300,10.000
4.395,3.504,-0.020,-0.300,10.000
4.395,3.481,-0.020,-0.300,10.000
4.395,3.504,-0.020,-0.300,10.000
4.395,3.481,-0.020,-0.300,10.000
4.395,3.504,-0.020,-0.280,10.000
4.395,3.474,-0.020,-0.280,10.000
4.395,3.497,-0.020,-0.280,10.000
4.395,3.474,-0.020,-0.280,10.000
4.395,3.497,-0.020,-0.280,10.000
4.395,3.474,-0.020,-0.260,10.000
4.395,3.490,0.000,-0.220,10.000
4.395,3.444,0.140,-0.160,10.000
4.395,3.381,0.260,-0.100,10.000
4.395,3.281,0.440,-0.020,10.000
4.395,3.192,0.580,0.040,10.000
4.395,3.082,0.780,0.120,10.000
4.395,2.984,0.980,0.200,10.000
4.395,2.840,1.180,0.260,10.000
4.395,2.748,1.380,0.340,10.000
4.395,2.604,1.600,0.400,10.000
4.395,2.503,1.840,0.480,10.000
4.395,2.341,2.060,0.560,10.000
4.395,2.233,2.300,0.620,10.000
4.395,2.077,2.540,0.700,10.000
4.395,1.960,2.800,0.760,10.000
4.395,1.795,3.060,0.840,10.000
4.395,1.669,3.300,0.880,10.000
4.395,1.520,3.440,0.900,10.000
4.395,1.471,3.480,0.900,10.000
4.395,1.429,3.500,0.900,10.000
4.395,1.443,3.500,0.900,10.000
4.395,1.420,3.500,0.880,10.000
4.395,1.450,3.500,0.880,10.000
4.395,1.427,3.500,0.880,10.000
4.395,1.450,3.500,0.860,10.000
4.395,1.434,3.500,0.860,10.000
4.395,1.457,3.500,0.860,10.000
4.395,1.434,3.500,0.860,10.000
4.395,1.457,3.500,0.840,10.000
4.395,1.441,3.500,0.840,10.000
4.395,1.464,3.500,0.820,10.000
4.395,1.448,3.420,0.800,10.000
4.395,1.516,3.400,0.780,10.000
4.395,1.509,3.380,0.760,10.000
4.395,1.548,3.340,0.740,10.000
4.395,1.551,3.340,0.740,10.000
4.395,1.574,3.320,0.740,10.000
4.395,1.561,3.320,0.740,10.000
4.395,1.583,3.320,0.740,10.000
4.395,1.561,3.320,0.740,10.000
4.395,1.584,3.320,0.740,10.000
4.395,1.561,3.320,0.740,10.000
4.395,1.584,3.320,0.740,10.000
4.395,1.561,3.320,0.740,10.000
4.395,1.584,3.320,0.740,10.000
4.395,1.561,3.320,0.720,10.000
4.395,1.591,3.320,0.720,10.000
4.395,1.568,3.320,0.720,10.000
4.395,1.591,3.320,0.720,10.000
4.395,1.568,3.300,0.720,10.000
4.395,1.600,3.300,0.720,10.000
4.395,1.577,3.300,0.720,10.000
4.395,1.600,3.300,0.720,10.000
4.395,1.577,3.300,0.720,10.000
4.395,1.600,3.300,0.720,10.000
4.395,1.577,3.300,0.720,10.000
4.395,1.600,3.300,0.720,10.000
