xref[mm],s[mm],p[bar],u[V],t[ms] 
0.000,0.000,0.000,0.000,0.000
0.000,0.558,0.000,-0.300,10.000
5.000,0.558,0.000,-0.300,10.000
5.000,3.932,0.000,-0.300,10.000
5.000,4.020,0.000,-0.300,10.000
5.000,4.020,0.000,-0.300,10.000
5.000,4.020,0.000,-0.300,10.000
5.000,4.020,0.000,-0.280,10.000
5.000,4.018,0.000,-0.280,10.000
5.000,4.018,0.000,-0.280,10.000
5.000,4.019,0.000,-0.280,10.000
5.000,4.018,0.000,-0.280,10.000
5.000,4.019,0.000,-0.280,10.000
5.000,4.018,0.040,-0.220,10.000
5.000,3.992,0.180,-0.160,10.000
5.000,3.916,0.280,-0.100,10.000
5.000,3.862,0.480,-0.020,10.000
5.000,3.754,0.640,0.060,10.000
5.000,3.669,0.840,0.120,10.000
5.000,3.563,1.040,0.200,10.000
5.000,3.459,1.240,0.260,10.000
5.000,3.353,1.460,0.340,10.000
5.000,3.239,1.680,0.420,10.000
5.000,3.121,1.920,0.480,10.000
5.000,3.000,2.160,0.560,10.000
5.000,2.873,2.400,0.620,10.000
5.000,2.752,2.660,0.700,10.000
5.000,2.615,2.920,0.760,10.000
5.000,2.484,3.180,0.820,10.000
5.000,2.350,3.460,0.900,10.000
5.000,2.206,3.760,0.960,10.000
5.000,2.053,4.040,1.040,10.000
5.000,1.910,4.260,1.060,10.000
5.000,1.800,4.340,1.080,10.000
5.000,1.761,4.380,1.080,10.000
5.000,1.741,4.380,1.060,10.000
5.000,1.744,4.380,1.060,10.000
5.000,1.744,4.380,1.060,10.000
5.000,1.745,4.380,1.040,10.000
5.000,1.747,4.380,1.040,10.000
5.000,1.749,4.380,1.040,10.000
5.000,1.748,4.380,1.020,10.000
5.000,1.752,4.380,1.020,10.000
5.000,1.752,4.380,1.020,10.000
5.000,1.753,4.380,1.000,10.000
5.000,1.755,4.360,0.980,10.000
5.000,1.769,4.300,0.960,10.000
5.000,1.800,4.300,0.960,10.000
5.000,1.801,4.280,0.940,10.000
5.000,1.813,4.280,0.940,10.000
5.000,1.815,4.260,0.940,10.000
5.000,1.824,4.260,0.940,10.000
5.000,1.826,4.260,0.940,10.000
5.000,1.826,4.260,0.940,10.000
5.000,1.827,4.260,0.940,10.000
5.000,1.827,4.260,0.940,10.000
5.000,1.829,4.260,0.920,10.000
5.000,1.831,4.260,0.920,10.000
5.000,1.833,4.240,0.920,10.000
5.000,1.842,4.240,0.920,10.000
5.000,1.844,4.240,0.920,10.000
5.000,1.843,4.240,0.920,10.000
5.000,1.845,4.240,0.920,10.000
5.000,1.845,4.240,0.920,10.000
5.000,1.846,4.240,0.920,10.000
5.000,1.846,4.240,0.900,10.000
5.000,1.850,4.220,0.900,10.000
5.000,1.859,4.220,0.900,10.000
5.000,1.860,4.220,0.900,10.000
5.000,1.860,4.220,0.900,10.000
5.000,1.861,4.220,0.900,10.000
5.000,1.861,4.220,0.900,10.000
5.000,1.862,4.200,0.900,10.000
5.000,1.871,4.200,0.900,10.000
5.000,1.872,4.200,0.900,10.000
5.000,1.872,4.200,0.900,10.000
5.000,1.872,4.200,0.900,10.000
5.000,1.872,4.200,0.880,10.000
5.000,1.875,4.200,0.880,10.000
5.000,1.875,4.200,0.880,10.000
5.000,1.876,4.180,0.880,10.000
5.000,1.885,4.180,0.880,10.000
5.000,1.885,4.180,0.880,10.000
5.000,1.885,4.180,0.880,10.000
5.000,1.885,4.180,0.880,10.000
5.000,1.885,4.180,0.880,10.000
5.000,1.885,4.180,0.880,10.000
5.000,1.885,4.160,0.880,10.000
5.000,1.895,4.160,0.880,10.000
5.000,1.894,4.160,0.880,10.000
5.000,1.894,4.160,0.860,10.000
5.000,1.896,4.160,0.860,10.000
5.000,1.897,4.160,0.860,10.000
5.000,1.896,4.160,0.860,10.000
5.000,1.896,4.160,0.860,10.000
5.000,1.896,4.160,0.860,10.000
5.000,1.896,4.140,0.860,10.000
5.000,1.905,4.140,0.860,10.000
5.000,1.905,4.140,0.860,10.000
5.000,1.905,4.140,0.860,10.000
5.000,1.905,4.140,0.860,10.000
5.000,1.904,4.140,0.860,10.000
5.000,1.904,4.140,0.860,10.000
5.000,1.904,4.120,0.860,10.000
5.000,1.913,4.120,0.860,10.000
5.000,1.913,4.120,0.840,10.000
5.000,1.916,4.120,0.840,10.000
5.000,1.915,4.120,0.840,10.000
5.000,1.915,4.120,0.840,10.000
5.000,1.914,4.120,0.840,10.000
5.000,1.915,4.120,0.840,10.000
5.000,1.914,4.100,0.840,10.000
5.000,1.924,4.100,0.840,10.000
5.000,1.923,4.100,0.840,10.000
5.000,1.923,4.100,0.840,10.000
5.000,1.923,4.100,0.840,10.000
5.000,1.923,4.100,0.840,10.000
5.000,1.922,4.100,0.840,10.000
5.000,1.922,4.100,0.840,10.000
5.000,1.922,4.100,0.840,10.000
5.000,1.922,4.080,0.840,10.000
5.000,1.931,4.080,0.840,10.000
5.000,1.931,4.080,0.840,10.000
5.000,1.930,4.080,0.840,10.000
5.000,1.931,4.080,0.840,10.000
5.000,1.930,4.080,0.820,10.000
5.000,1.933,4.080,0.820,10.000
5.000,1.932,4.060,0.820,10.000
5.000,1.942,4.060,0.820,10.000
5.000,1.941,4.060,0.820,10.000
5.000,1.941,4.060,0.820,10.000
5.000,1.941,4.060,0.820,10.000
5.000,1.941,4.060,0.820,10.000
5.000,1.940,4.060,0.820,10.000
5.000,1.940,4.060,0.820,10.000
5.000,1.940,4.060,0.820,10.000
5.000,1.940,4.040,0.820,10.000
5.000,1.949,4.040,0.820,10.000
5.000,1.949,4.040,0.820,10.000
5.000,1.949,4.040,0.820,10.000
5.000,1.949,4.040,0.820,10.000
5.000,1.948,4.040,0.820,10.000
5.000,1.948,4.040,0.820,10.000
5.000,1.948,4.040,0.820,10.000
5.000,1.948,4.020,0.820,10.000
5.000,1.957,4.020,0.820,10.000
5.000,1.957,4.020,0.820,10.000
5.000,1.957,4.020,0.800,10.000
5.000,1.959,4.020,0.800,10.000
5.000,1.959,4.020,0.800,10.000
5.000,1.959,4.020,0.820,10.000
5.000,1.956,4.020,0.820,10.000
5.000,1.956,4.020,0.820,10.000
5.000,1.956,4.020,0.820,10.000
5.000,1.956,4.020,0.820,10.000
5.000,1.955,4.020,0.820,10.000
5.000,1.956,4.020,0.820,10.000
5.000,1.955,4.020,0.820,10.000
5.000,1.955,4.020,0.820,10.000
5.000,1.955,4.020,0.820,10.000
5.000,1.955,4.020,0.820,10.000
5.000,1.955,4.020,0.820,10.000
5.000,1.955,4.020,0.820,10.000
