xref[mm],s[mm],p[bar],u[V],t[ms] 
0.000,0.000,0.000,0.000,0.000
0.000,0.558,0.020,-0.300,10.000
4.395,0.558,0.020,-0.300,10.000
4.395,3.358,0.020,-0.300,10.000
4.395,3.357,0.020,-0.300,10.000
4.395,3.357,0.020,-0.300,10.000
4.395,3.358,0.020,-0.300,10.000
4.395,3.357,0.020,-0.280,10.000
4.395,3.359,0.020,-0.280,10.000
4.395,3.357,0.020,-0.280,10.000
4.395,3.360,0.020,-0.280,10.000
4.395,3.356,0.020,-0.280,10.000
4.395,3.361,0.020,-0.280,10.000
4.395,3.356,0.040,-0.220,10.000
4.395,3.352,0.160,-0.160,10.000
4.395,3.286,0.260,-0.100,10.000
4.395,3.244,0.420,-0.020,10.000
4.395,3.156,0.560,0.060,10.000
4.395,3.095,0.760,0.120,10.000
4.395,2.985,0.920,0.200,10.000
4.395,2.916,1.100,0.280,10.000
4.395,2.813,1.280,0.340,10.000
4.395,2.736,1.480,0.420,10.000
4.395,2.620,1.680,0.500,10.000
4.395,2.536,1.900,0.560,10.000
4.395,2.406,2.100,0.640,10.000
4.395,2.323,2.320,0.700,10.000
4.395,2.191,2.540,0.780,10.000
4.395,2.100,2.780,0.840,10.000
4.395,1.954,3.020,0.920,10.000
4.395,1.854,3.240,0.960,10.000
4.395,1.715,3.340,0.980,10.000
4.395,1.687,3.360,0.980,10.000
4.395,1.645,3.360,0.980,10.000
4.395,1.667,3.360,0.960,10.000
4.395,1.634,3.360,0.960,10.000
4.395,1.656,3.360,0.960,10.000
4.395,1.622,3.360,0.940,10.000
4.395,1.642,3.360,0.940,10.000
4.395,1.608,3.360,0.940,10.000
4.395,1.628,3.360,0.940,10.000
4.395,1.593,3.360,0.920,10.000
4.395,1.612,3.360,0.920,10.000
4.395,1.578,3.360,0.900,10.000
4.395,1.597,3.360,0.880,10.000
4.395,1.563,3.280,0.860,10.000
4.395,1.622,3.280,0.860,10.000
4.395,1.588,3.260,0.840,10.000
4.395,1.617,3.220,0.820,10.000
4.395,1.604,3.160,0.820,10.000
4.395,1.653,3.160,0.800,10.000
4.395,1.622,3.120,0.780,10.000
4.395,1.661,3.100,0.780,10.000
4.395,1.641,3.100,0.780,10.000
4.395,1.661,3.100,0.780,10.000
4.395,1.632,3.100,0.780,10.000
4.395,1.653,3.100,0.780,10.000
4.395,1.626,3.100,0.780,10.000
4.395,1.647,3.100,0.780,10.000
4.395,1.621,3.100,0.760,10.000
4.395,1.643,3.100,0.760,10.000
4.395,1.619,3.100,0.760,10.000
4.395,1.642,3.100,0.760,10.000
4.395,1.618,3.080,0.760,10.000
4.395,1.652,3.080,0.760,10.000
4.395,1.629,3.080,0.760,10.000
4.395,1.653,3.080,0.760,10.000
4.395,1.632,3.080,0.760,10.000
4.395,1.656,3.080,0.760,10.000
4.395,1.635,3.080,0.760,10.000
4.395,1.659,3.080,0.760,10.000
4.395,1.639,3.060,0.740,10.000
4.395,1.673,3.060,0.740,10.000
4.395,1.653,3.060,0.740,10.000
4.395,1.676,3.060,0.740,10.000
4.395,1.657,3.060,0.740,10.000
4.395,1.680,3.060,0.740,10.000
4.395,1.661,3.060,0.740,10.000
4.395,1.683,3.060,0.740,10.000
4.395,1.665,3.060,0.740,10.000
4.395,1.687,3.060,0.740,10.000
4.395,1.668,3.060,0.740,10.000
4.395,1.690,3.060,0.740,10.000
4.395,1.672,3.060,0.740,10.000
4.395,1.693,3.040,0.740,10.000
4.395,1.685,3.040,0.740,10.000
4.395,1.706,3.040,0.740,10.000
4.395,1.688,3.040,0.720,10.000
4.395,1.708,3.040,0.720,10.000
4.395,1.690,3.040,0.720,10.000
4.395,1.710,3.040,0.720,10.000
4.395,1.693,3.040,0.720,10.000
4.395,1.713,3.040,0.720,10.000
4.395,1.695,3.040,0.720,10.000
4.395,1.715,3.040,0.720,10.000
4.395,1.698,3.040,0.720,10.000
4.395,1.717,3.040,0.720,10.000
4.395,1.700,3.020,0.720,10.000
4.395,1.729,3.020,0.720,10.000
4.395,1.713,3.020,0.720,10.000
4.395,1.731,3.020,0.720,10.000
4.395,1.715,3.020,0.720,10.000
4.395,1.733,3.020,0.720,10.000
4.395,1.717,3.020,0.720,10.000
4.395,1.735,3.020,0.720,10.000
4.395,1.720,3.020,0.720,10.000
4.395,1.737,3.020,0.720,10.000
4.395,1.722,3.020,0.700,10.000
4.395,1.739,3.020,0.700,10.000
4.395,1.724,3.000,0.700,10.000
4.395,1.751,3.000,0.720,10.000
4.395,1.736,3.000,0.720,10.000
4.395,1.753,3.000,0.700,10.000
4.395,1.738,3.000,0.700,10.000
