xref[mm],s[mm],p[bar],u[V],t[ms] 
0.000,0.000,0.000,0.000,0.000
0.000,0.558,-0.040,-0.300,10.000
5.000,0.558,-0.040,-0.300,10.000
5.000,4.008,-0.040,-0.300,10.000
5.000,4.008,-0.040,-0.300,10.000
5.000,4.008,-0.040,-0.300,10.000
5.000,4.008,-0.040,-0.300,10.000
5.000,4.009,-0.040,-0.280,10.000
5.000,4.009,-0.040,-0.280,10.000
5.000,4.009,-0.040,-0.280,10.000
5.000,4.010,-0.040,-0.280,10.000
5.000,4.010,-0.040,-0.280,10.000
5.000,4.011,-0.040,-0.280,10.000
5.000,4.010,-0.020,-0.240,10.000
5.000,4.002,0.120,-0.160,10.000
5.000,3.931,0.240,-0.100,10.000
5.000,3.873,0.420,-0.020,10.000
5.000,3.781,0.600,0.040,10.000
5.000,3.695,0.800,0.120,10.000
5.000,3.591,1.000,0.180,10.000
5.000,3.495,1.200,0.260,10.000
5.000,3.389,1.440,0.320,10.000
5.000,3.276,1.660,0.400,10.000
5.000,3.157,1.900,0.460,10.000
5.000,3.045,2.140,0.540,10.000
5.000,2.914,2.380,0.600,10.000
5.000,2.803,2.640,0.680,10.000
5.000,2.659,2.900,0.740,10.000
5.000,2.540,3.180,0.800,10.000
5.000,2.384,3.460,0.880,10.000
5.000,2.256,3.760,0.940,10.000
5.000,2.087,4.040,1.020,10.000
5.000,1.959,4.340,1.060,10.000
5.000,1.788,4.480,1.080,10.000
5.000,1.731,4.540,1.080,10.000
5.000,1.678,4.560,1.080,10.000
5.000,1.681,4.560,1.080,10.000
5.000,1.657,4.560,1.060,10.000
5.000,1.668,4.560,1.060,10.000
5.000,1.644,4.560,1.060,10.000
5.000,1.655,4.560,1.040,10.000
5.000,1.630,4.560,1.040,10.000
5.000,1.640,4.560,1.040,10.000
5.000,1.615,4.560,1.040,10.000
5.000,1.625,4.560,1.020,10.000
5.000,1.600,4.560,1.000,10.000
5.000,1.609,4.500,0.980,10.000
5.000,1.615,4.400,0.940,10.000
5.000,1.674,4.320,0.920,10.000
5.000,1.690,4.220,0.900,10.000
5.000,1.750,4.180,0.880,10.000
5.000,1.747,4.180,0.880,10.000
5.000,1.757,4.160,0.860,10.000
5.000,1.745,4.160,0.860,10.000
5.000,1.755,4.160,0.860,10.000
5.000,1.735,4.160,0.860,10.000
5.000,1.746,4.160,0.860,10.000
5.000,1.727,4.160,0.860,10.000
5.000,1.739,4.160,0.860,10.000
5.000,1.721,4.140,0.860,10.000
5.000,1.744,4.140,0.860,10.000
5.000,1.727,4.140,0.860,10.000
5.000,1.741,4.140,0.840,10.000
5.000,1.725,4.100,0.840,10.000
5.000,1.759,4.080,0.840,10.000
5.000,1.755,4.080,0.840,10.000
5.000,1.770,4.080,0.840,10.000
5.000,1.756,4.080,0.840,10.000
5.000,1.772,4.080,0.820,10.000
5.000,1.759,4.080,0.820,10.000
5.000,1.775,4.080,0.820,10.000
5.000,1.763,4.060,0.820,10.000
5.000,1.788,4.060,0.820,10.000
5.000,1.777,4.060,0.820,10.000
5.000,1.792,4.060,0.820,10.000
5.000,1.781,4.060,0.820,10.000
5.000,1.796,4.060,0.820,10.000
5.000,1.785,4.040,0.820,10.000
5.000,1.810,4.040,0.820,10.000
5.000,1.799,4.040,0.820,10.000
5.000,1.814,4.040,0.820,10.000
5.000,1.803,4.040,0.820,10.000
5.000,1.817,4.040,0.800,10.000
5.000,1.806,4.040,0.800,10.000
5.000,1.821,4.020,0.800,10.000
5.000,1.820,4.020,0.800,10.000
5.000,1.834,4.020,0.800,10.000
5.000,1.823,4.020,0.800,10.000
5.000,1.836,4.020,0.800,10.000
5.000,1.825,4.020,0.800,10.000
5.000,1.839,4.020,0.800,10.000
5.000,1.828,4.020,0.800,10.000
5.000,1.841,4.000,0.800,10.000
5.000,1.841,4.000,0.800,10.000
5.000,1.854,4.000,0.800,10.000
5.000,1.843,4.000,0.800,10.000
5.000,1.856,4.000,0.800,10.000
5.000,1.846,4.000,0.800,10.000
5.000,1.858,3.980,0.800,10.000
5.000,1.858,3.980,0.780,10.000
5.000,1.871,3.980,0.780,10.000
5.000,1.861,3.980,0.780,10.000
5.000,1.873,3.980,0.780,10.000
5.000,1.863,3.980,0.780,10.000
5.000,1.875,3.980,0.780,10.000
5.000,1.865,3.980,0.780,10.000
5.000,1.877,3.980,0.780,10.000
5.000,1.867,3.980,0.780,10.000
5.000,1.879,3.960,0.780,10.000
5.000,1.880,3.960,0.780,10.000
5.000,1.891,3.960,0.780,10.000
5.000,1.882,3.960,0.780,10.000
5.000,1.893,3.960,0.780,10.000
5.000,1.884,3.960,0.780,10.000
5.000,1.895,3.960,0.780,10.000
5.000,1.886,3.960,0.780,10.000
5.000,1.897,3.960,0.780,10.000
5.000,1.888,3.940,0.780,10.000
5.000,1.909,3.940,0.780,10.000
5.000,1.900,3.940,0.780,10.000
5.000,1.910,3.940,0.760,10.000
5.000,1.902,3.940,0.760,10.000
5.000,1.912,3.940,0.760,10.000
5.000,1.904,3.940,0.760,10.000
5.000,1.914,3.940,0.760,10.000
5.000,1.906,3.940,0.760,10.000
5.000,1.916,3.940,0.760,10.000
5.000,1.908,3.940,0.760,10.000
5.000,1.918,3.940,0.760,10.000
5.000,1.909,3.940,0.760,10.000
5.000,1.919,3.940,0.780,10.000
5.000,1.911,3.940,0.780,10.000
5.000,1.921,3.940,0.780,10.000
5.000,1.913,3.940,0.780,10.000
5.000,1.923,3.940,0.780,10.000
5.000,1.915,3.940,0.780,10.000
5.000,1.924,3.940,0.780,10.000
5.000,1.916,3.940,0.780,10.000
5.000,1.926,3.940,0.780,10.000
5.000,1.918,3.940,0.780,10.000
5.000,1.927,3.940,0.780,10.000
5.000,1.919,3.940,0.780,10.000
5.000,1.929,3.940,0.780,10.000
5.000,1.921,3.940,0.780,10.000
5.000,1.930,3.940,0.780,10.000
5.000,1.923,3.940,0.780,10.000
5.000,1.931,3.940,0.780,10.000
5.000,1.924,3.940,0.780,10.000
5.000,1.933,3.940,0.780,10.000
5.000,1.925,3.940,0.780,10.000
5.000,1.934,3.940,0.780,10.000
5.000,1.927,3.920,0.780,10.000
5.000,1.945,3.940,0.780,10.000
5.000,1.928,3.940,0.780,10.000
5.000,1.937,3.940,0.780,10.000
5.000,1.930,3.940,0.800,10.000
5.000,1.938,3.940,0.800,10.000
5.000,1.931,3.940,0.800,10.000
5.000,1.939,3.940,0.800,10.000
5.000,1.932,3.940,0.800,10.000
5.000,1.940,3.940,0.800,10.000
5.000,1.933,3.940,0.800,10.000
5.000,1.941,3.940,0.800,10.000
5.000,1.935,3.940,0.800,10.000
5.000,1.942,3.940,0.800,10.000
5.000,1.936,3.940,0.800,10.000
5.000,1.944,3.940,0.800,10.000
5.000,1.937,3.940,0.800,10.000
5.000,1.945,3.940,0.800,10.000
5.000,1.938,3.940,0.800,10.000
5.000,1.946,3.940,0.800,10.000
5.000,1.939,3.940,0.800,10.000
5.000,1.947,3.960,0.800,10.000
5.000,1.931,3.960,0.800,10.000
5.000,1.938,3.960,0.800,10.000
5.000,1.932,3.960,0.800,10.000
5.000,1.939,3.960,0.800,10.000
5.000,1.933,3.960,0.800,10.000
5.000,1.940,3.960,0.800,10.000
5.000,1.934,3.960,0.800,10.000
5.000,1.941,3.960,0.800,10.000
5.000,1.935,3.960,0.800,10.000
5.000,1.942,3.960,0.800,10.000
5.000,1.936,3.960,0.800,10.000
5.000,1.943,3.960,0.800,10.000
5.000,1.937,3.960,0.800,10.000
5.000,1.944,3.960,0.800,10.000
5.000,1.938,3.960,0.800,10.000
5.000,1.944,3.960,0.800,10.000
5.000,1.939,3.960,0.800,10.000
5.000,1.945,3.960,0.800,10.000
5.000,1.940,3.960,0.800,10.000
5.000,1.946,3.960,0.800,10.000
5.000,1.941,3.960,0.800,10.000
5.000,1.947,3.960,0.800,10.000
5.000,1.942,3.960,0.800,10.000
5.000,1.948,3.960,0.800,10.000
5.000,1.943,3.980,0.800,10.000
5.000,1.939,3.980,0.800,10.000
5.000,1.933,3.980,0.800,10.000
5.000,1.939,3.980,0.800,10.000
5.000,1.934,3.980,0.800,10.000
5.000,1.940,4.000,0.820,10.000
