u[V],s[mm],p[bar],t[ms] 
4.460,0.000,0.000,264631570.162
4.460,-0.049,0.000,10.358
4.460,0.000,0.000,10.328
4.460,-0.049,0.000,10.323
4.460,0.000,0.000,10.348
4.460,0.000,0.000,10.335
4.460,-0.049,0.000,10.362
4.460,0.000,0.000,10.328
4.460,0.000,0.000,10.318
4.460,-0.049,0.000,10.303
4.460,-0.049,0.000,10.463
4.460,0.000,0.000,10.323
4.460,-0.049,0.000,10.315
4.460,0.000,0.000,10.322
4.460,0.000,0.000,10.315
4.460,0.049,0.000,10.319
4.460,0.049,0.000,10.315
4.460,0.098,0.000,10.356
4.460,0.098,0.000,10.417
4.460,0.244,0.046,10.400
4.460,0.293,0.116,10.272
4.460,0.391,0.169,10.351
4.460,0.439,0.244,10.356
4.460,0.537,0.310,10.339
4.460,0.635,0.375,9.345
4.460,0.732,0.446,10.349
4.460,0.830,0.516,10.348
4.460,1.025,0.591,10.417
4.460,1.074,0.657,10.388
4.460,1.270,0.736,10.365
4.460,1.367,0.797,10.356
4.460,1.514,0.881,10.354
4.460,1.709,0.947,10.409
4.460,1.855,1.021,10.389
4.460,2.051,1.092,10.354
4.460,2.246,1.158,9.353
4.460,2.344,1.228,10.352
4.460,2.588,1.298,10.352
4.460,2.734,1.373,10.354
4.460,2.979,1.435,10.358
4.460,3.174,1.509,10.362
4.460,3.369,1.575,10.354
4.460,3.613,1.641,10.356
4.460,3.809,1.707,10.352
4.460,4.053,1.777,10.355
4.460,4.297,1.843,10.351
4.460,4.541,1.909,10.353
4.460,4.785,1.975,10.433
4.460,5.078,2.032,10.254
4.460,5.322,2.085,10.355
4.460,5.566,2.129,10.356
4.460,5.762,2.168,10.358
4.460,5.957,2.190,10.421
4.460,6.104,2.217,10.349
4.460,6.250,2.230,10.355
4.460,6.396,2.248,10.350
4.460,6.494,2.252,10.348
4.460,6.543,2.261,10.346
4.460,6.641,2.270,10.357
4.460,6.641,2.270,10.350
4.460,6.738,2.270,10.350
4.460,6.738,2.270,10.348
4.460,6.836,2.265,10.400
4.460,6.787,2.270,9.347
4.460,6.885,2.274,10.348
4.460,6.885,2.274,10.436
4.460,6.885,2.270,10.347
4.460,6.934,2.270,10.507
4.460,6.934,2.274,10.296
4.460,6.982,2.270,10.338
4.460,6.982,2.270,10.352
4.460,7.031,2.274,9.350
4.460,7.031,2.270,10.350
4.460,7.031,2.270,10.352
4.460,7.080,2.270,9.353
4.460,7.129,2.270,10.390
4.460,7.129,2.274,10.400
4.460,7.129,2.278,10.358
4.460,7.178,2.278,10.354
4.460,7.178,2.287,10.354
4.460,7.178,2.283,10.352
4.460,7.178,2.278,10.352
4.460,7.275,2.278,10.398
4.460,7.275,2.278,10.350
4.460,7.275,2.278,10.352
4.460,7.275,2.283,9.349
4.460,7.373,2.287,10.348
4.460,7.373,2.287,10.369
4.460,7.324,2.283,10.364
4.460,7.324,2.287,10.367
4.460,7.373,2.283,10.396
4.460,7.373,2.283,10.352
4.460,7.373,2.278,10.350
4.460,7.373,2.278,10.349
4.460,7.422,2.283,10.350
4.460,7.373,2.278,10.351
4.460,7.422,2.283,9.369
4.460,7.422,2.287,10.539
4.460,7.422,2.283,10.286
4.460,7.471,2.292,10.338
4.460,7.422,2.287,10.350
4.460,7.520,2.292,10.357
4.460,7.520,2.292,10.360
4.460,7.520,2.287,10.413
4.460,7.568,2.292,10.217
4.460,7.568,2.292,10.376
4.460,7.568,2.292,10.378
2.190,7.568,2.292,10.440
2.190,7.617,2.296,10.374
2.190,7.568,2.287,10.434
2.190,7.617,2.283,10.374
2.190,7.568,2.278,10.441
2.190,7.617,2.265,10.376
2.190,7.617,2.270,10.439
2.190,7.617,2.270,10.376
2.190,7.568,2.261,10.439
2.190,7.617,2.234,10.380
2.190,7.617,2.212,10.437
2.190,7.568,2.177,10.378
2.190,7.422,2.138,10.436
2.190,7.324,2.089,10.376
2.190,7.227,2.045,10.436
2.190,7.031,2.010,10.374
2.190,6.934,1.962,10.434
2.190,6.787,1.918,10.375
2.190,6.641,1.878,10.435
2.190,6.543,1.830,10.524
2.190,6.396,1.791,10.312
2.190,6.250,1.747,10.266
2.190,6.152,1.711,9.537
2.190,6.006,1.672,10.382
2.190,5.859,1.632,10.475
2.190,5.713,1.597,10.436
2.190,5.566,1.558,10.375
2.190,5.469,1.527,10.436
2.190,5.322,1.483,10.370
2.190,5.225,1.452,9.441
2.190,5.127,1.417,10.380
2.190,5.029,1.382,10.442
2.190,4.883,1.338,10.376
2.190,4.785,1.312,10.440
2.190,4.639,1.285,10.375
2.190,4.590,1.259,10.436
2.190,4.492,1.241,10.378
2.190,4.443,1.232,10.436
2.190,4.346,1.215,10.380
2.190,4.297,1.206,10.544
2.190,4.199,1.197,10.263
2.190,4.248,1.193,10.380
2.190,4.199,1.188,10.484
2.190,4.150,1.193,10.416
2.190,4.199,1.188,10.376
2.190,4.199,1.184,10.434
2.190,4.199,1.180,10.376
2.190,4.150,1.180,10.436
2.190,4.102,1.180,10.374
2.190,4.150,1.180,10.434
2.190,4.053,1.180,10.373
2.190,4.102,1.175,9.567
2.190,4.102,1.175,10.351
2.190,4.053,1.167,10.395
2.190,4.053,1.167,10.351
2.190,4.102,1.171,10.349
2.190,4.102,1.171,10.354
2.190,4.053,1.167,10.354
2.190,4.053,1.167,10.349
2.190,4.053,1.167,10.350
2.190,4.004,1.162,10.349
2.190,4.053,1.162,10.369
2.190,4.004,1.158,10.462
2.190,3.955,1.162,10.360
2.190,4.004,1.162,10.364
2.190,4.004,1.158,10.355
2.190,4.004,1.153,10.352
2.190,4.053,1.153,10.351
2.190,4.004,1.153,10.358
2.190,3.955,1.149,10.351
2.190,4.004,1.153,10.366
2.190,4.004,1.149,10.360
2.190,3.955,1.149,10.347
2.190,3.955,1.149,9.350
2.190,4.004,1.145,10.351
2.190,4.004,1.145,10.351
2.190,3.955,1.145,9.355
2.190,3.955,1.145,10.385
2.190,3.955,1.149,10.478
2.190,3.955,1.140,10.269
2.190,3.906,1.140,10.315
2.190,3.906,1.136,10.313
2.190,3.955,1.136,10.313
2.190,3.955,1.131,10.310
2.190,3.906,1.131,10.312
2.190,3.906,1.131,9.318
2.190,3.955,1.136,10.346
2.190,3.906,1.131,10.321
2.190,3.906,1.127,9.311
2.190,3.955,1.131,10.306
2.190,3.906,1.127,10.397
2.190,3.906,1.127,10.263
2.190,3.906,1.127,10.478
2.190,3.955,1.118,10.473
2.190,3.857,1.123,10.383
2.190,3.906,1.123,10.378
2.190,3.906,1.123,10.449
2.190,3.906,1.127,10.377
2.190,3.857,1.118,10.437
2.190,3.906,1.114,10.371
2.190,3.857,1.118,10.434
2.190,3.857,1.118,10.372
2.190,3.857,1.118,10.435
2.190,3.809,1.114,10.374
2.190,3.857,1.109,10.434
2.190,3.857,1.118,10.427
2.190,3.809,1.114,10.434
1.611,3.809,1.114,10.376
1.611,3.857,1.114,10.435
1.611,3.857,1.109,10.374
1.611,3.809,1.083,10.437
1.611,3.760,1.065,10.376
1.611,3.662,1.035,10.438
1.611,3.662,1.008,10.373
1.611,3.564,0.973,10.437
1.611,3.467,0.947,10.376
1.611,3.467,0.925,10.437
1.611,3.418,0.898,10.422
1.611,3.271,0.885,10.513
1.611,3.223,0.872,10.279
1.611,3.223,0.868,9.376
1.611,3.174,0.854,10.436
1.611,3.125,0.846,10.376
1.611,3.174,0.846,10.433
1.611,3.125,0.846,10.376
1.611,3.076,0.837,9.369
1.611,3.076,0.837,10.378
1.611,3.076,0.837,10.437
1.611,3.076,0.833,10.376
1.611,3.076,0.833,10.371
1.611,3.076,0.837,9.434
1.611,3.027,0.833,10.376
1.611,3.076,0.828,10.435
1.611,3.027,0.828,10.375
1.611,3.076,0.828,10.431
1.611,2.979,0.819,10.395
1.611,2.979,0.819,10.581
1.611,2.979,0.819,10.422
1.611,2.979,0.815,10.419
1.611,2.979,0.815,10.334
1.611,3.027,0.819,10.367
1.611,2.930,0.815,10.369
1.611,2.979,0.811,10.365
1.611,2.979,0.815,10.376
1.611,2.979,0.819,10.364
1.611,2.979,0.811,10.383
1.611,2.930,0.806,10.431
1.611,2.930,0.811,10.371
1.611,2.930,0.806,10.434
1.611,2.979,0.806,10.372
1.611,2.930,0.802,9.519
1.611,2.979,0.802,10.370
1.611,2.930,0.802,10.470
1.611,2.881,0.802,10.420
1.611,2.930,0.806,10.438
1.611,2.881,0.797,10.371
1.611,2.930,0.797,10.431
1.611,2.930,0.797,10.370
1.611,2.881,0.797,10.431
1.611,2.832,0.797,10.371
1.611,2.881,0.797,10.432
1.611,2.930,0.789,10.381
1.611,2.881,0.793,9.431
1.611,2.930,0.784,10.375
1.611,2.881,0.789,10.442
1.611,2.832,0.789,10.371
1.611,2.881,0.789,10.433
1.611,2.832,0.789,9.373
1.611,2.881,0.784,10.438
1.611,2.881,0.784,10.372
1.611,2.832,0.780,10.433
1.611,2.832,0.780,10.370
1.611,2.832,0.780,10.432
1.611,2.783,0.780,10.371
1.611,2.832,0.775,10.431
1.611,2.832,0.780,10.371
1.611,2.832,0.775,10.374
1.611,2.832,0.775,10.445
1.611,2.832,0.775,10.376
1.611,2.832,0.775,10.375
1.611,2.832,0.775,10.402
1.611,2.783,0.775,10.562
1.611,2.832,0.775,9.280
1.611,2.832,0.771,10.375
1.611,2.832,0.771,10.487
1.611,2.783,0.767,10.388
1.611,2.783,0.767,10.488
1.611,2.783,0.767,10.377
1.611,2.832,0.767,10.442
1.611,2.783,0.762,10.377
1.611,2.783,0.762,10.440
1.611,2.783,0.767,10.379
1.611,2.734,0.762,10.436
1.611,2.783,0.762,10.373
1.611,2.832,0.758,10.439
1.611,2.783,0.758,10.365
1.611,2.783,0.758,10.371
1.611,2.783,0.758,10.377
1.611,2.783,0.758,10.436
1.611,2.783,0.753,10.375
1.611,2.734,0.753,10.433
1.611,2.734,0.753,10.378
1.611,2.783,0.753,10.441
1.611,2.686,0.753,10.371
1.611,2.734,0.758,9.432
1.611,2.734,0.749,10.372
1.611,2.734,0.749,10.430
1.611,2.734,0.749,10.378
1.611,2.734,0.749,10.433
1.611,2.734,0.749,9.370
1.611,2.783,0.749,10.433
1.611,2.734,0.749,10.369
1.611,2.734,0.740,10.435
1.611,2.734,0.745,10.378
2.781,2.734,0.745,10.528
2.781,2.734,0.745,10.457
2.781,2.734,0.745,10.343
2.781,2.783,0.740,10.374
2.781,2.686,0.740,10.443
2.781,2.734,0.749,10.372
2.781,2.686,0.753,10.432
2.781,2.734,0.789,10.370
2.781,2.734,0.819,10.432
2.781,2.783,0.876,10.378
2.781,2.881,0.934,10.432
2.781,2.979,0.995,10.369
2.781,3.125,1.048,9.432
2.781,3.271,1.105,10.374
2.781,3.369,1.153,10.437
2.781,3.516,1.188,10.379
2.781,3.564,1.219,10.438
2.781,3.662,1.237,9.374
2.781,3.711,1.250,10.431
2.781,3.760,1.268,10.431
2.781,3.760,1.272,10.436
2.781,3.809,1.276,10.375
2.781,3.809,1.285,10.440
2.781,3.809,1.285,10.373
2.781,3.857,1.285,10.439
2.781,3.857,1.285,10.374
2.781,3.906,1.285,10.437
2.781,3.857,1.294,10.372
2.781,3.857,1.290,10.434
2.781,3.906,1.294,10.419
2.781,3.906,1.285,10.436
2.781,3.906,1.285,10.375
2.781,3.906,1.285,10.434
2.781,3.906,1.281,10.370
2.781,3.906,1.285,9.431
2.781,3.906,1.285,10.374
2.781,3.906,1.285,10.441
2.781,3.906,1.285,10.378
2.781,3.906,1.281,10.437
2.781,3.906,1.290,9.376
2.781,3.906,1.285,10.433
