u[V],s[mm],p[bar],t[ms] 
0.000,-0.000,-0.300,10.000
4.074,-0.010,-0.300,10.000
4.074,-0.000,-0.300,10.000
4.074,-0.020,-0.300,10.000
4.074,-0.020,-0.300,10.000
4.074,-0.020,-0.300,10.000
4.074,-0.020,-0.300,10.000
4.074,-0.020,-0.300,10.000
4.074,-0.020,-0.280,10.000
4.074,-0.020,-0.280,10.000
4.074,-0.020,-0.280,10.000
4.074,-0.020,-0.280,10.000
4.074,-0.020,-0.240,10.000
4.074,-0.000,-0.200,10.000
4.074,0.100,-0.120,10.000
4.074,0.220,-0.040,10.000
4.074,0.380,0.040,10.000
4.074,0.520,0.120,10.000
4.074,0.700,0.180,10.000
4.074,0.860,0.260,10.000
4.074,1.040,0.340,10.000
4.074,1.220,0.400,10.000
4.074,1.400,0.480,10.000
4.074,1.600,0.560,10.000
4.074,1.800,0.620,10.000
4.074,2.020,0.700,10.000
4.074,2.240,0.760,10.000
4.074,2.460,0.820,10.000
4.074,2.680,0.900,10.000
4.074,2.920,0.960,10.000
4.074,3.160,1.040,10.000
4.074,3.400,1.100,10.000
4.074,3.660,1.180,10.000
4.074,3.920,1.240,10.000
4.074,4.200,1.300,10.000
4.074,4.480,1.380,10.000
4.074,4.760,1.440,10.000
4.074,5.040,1.500,10.000
4.074,5.340,1.580,10.000
4.074,5.640,1.640,10.000
4.074,5.960,1.700,10.000
4.074,6.280,1.760,10.000
4.074,6.600,1.840,10.000
4.074,6.920,1.900,10.000
4.074,7.260,1.960,10.000
4.074,7.580,2.000,10.000
4.074,7.880,2.020,10.000
4.074,8.000,2.040,10.000
4.074,8.100,2.040,10.000
4.074,8.160,2.040,10.000
4.074,8.200,2.040,10.000
4.074,8.240,2.040,10.000
4.074,8.260,2.040,10.000
4.074,8.280,2.040,10.000
4.074,8.300,2.040,10.000
4.074,8.320,2.040,10.000
4.074,8.340,2.040,10.000
4.074,8.400,2.040,10.000
4.074,8.420,2.040,10.000
4.074,8.480,2.040,10.000
4.074,8.520,2.040,10.000
4.074,8.540,2.060,10.000
4.074,8.560,2.060,10.000
4.074,8.580,2.060,10.000
4.074,8.600,2.060,10.000
4.074,8.620,2.040,10.000
4.074,8.640,2.040,10.000
4.074,8.640,2.040,10.000
4.074,8.660,2.040,10.000
4.074,8.660,2.040,10.000
4.074,8.680,2.040,10.000
4.074,8.680,2.040,10.000
4.074,8.700,2.040,10.000
4.074,8.700,2.040,10.000
4.074,8.720,2.040,10.000
4.074,8.740,2.040,10.000
4.074,8.760,2.060,10.000
4.074,8.780,2.060,10.000
4.074,8.800,2.060,10.000
4.074,8.820,2.060,10.000
4.074,8.840,2.060,10.000
4.074,8.840,2.060,10.000
4.074,8.860,2.060,10.000
4.074,8.860,2.060,10.000
4.074,8.880,2.060,10.000
4.074,8.900,2.060,10.000
4.074,8.900,2.060,10.000
4.074,8.920,2.060,10.000
4.074,8.920,2.060,10.000
4.074,8.920,2.060,10.000
4.074,8.940,2.060,10.000
4.074,8.940,2.060,10.000
4.074,8.960,2.060,10.000
4.074,8.960,2.060,10.000
4.074,8.960,2.060,10.000
4.074,8.980,2.060,10.000
4.074,9.000,2.060,10.000
4.074,9.000,2.060,10.000
4.074,9.020,2.060,10.000
4.074,9.040,2.060,10.000
4.074,9.040,2.060,10.000
4.074,9.040,2.060,10.000
4.074,9.060,2.060,10.000
4.074,9.060,2.060,10.000
4.074,9.080,2.060,10.000
4.074,9.080,2.060,10.000
4.074,9.080,2.060,10.000
4.074,9.100,2.060,10.000
4.074,9.100,2.060,10.000
4.074,9.100,2.060,10.000
4.074,9.120,2.060,10.000
4.074,9.120,2.060,10.000
4.074,9.140,2.060,10.000
4.074,9.140,2.060,10.000
4.074,9.160,2.060,10.000
4.074,9.160,2.060,10.000
4.074,9.160,2.060,10.000
4.074,9.180,2.060,10.000
4.074,9.180,2.060,10.000
4.074,9.180,2.060,10.000
4.074,9.200,2.060,10.000
4.074,9.200,2.060,10.000
4.074,9.200,2.060,10.000
4.074,9.220,2.060,10.000
4.074,9.220,2.060,10.000
4.074,9.220,2.060,10.000
4.074,9.240,2.060,10.000
4.074,9.240,2.060,10.000
4.074,9.260,2.060,10.000
4.074,9.260,2.060,10.000
4.074,9.260,2.060,10.000
4.074,9.280,2.060,10.000
