u[V],s[mm],p[bar],t[ms] 
4.460,0.000,0.000,1983631743.038
4.460,0.000,0.000,10.724
4.460,-0.049,0.000,10.392
4.460,0.000,0.000,10.283
4.460,0.000,0.000,10.320
4.460,0.000,0.000,10.356
4.460,0.049,0.000,9.318
4.460,0.049,0.000,10.324
4.460,0.049,0.000,10.315
4.460,0.049,0.000,10.318
4.460,-0.049,0.000,10.354
4.460,0.000,0.000,10.317
4.460,0.000,0.000,10.325
4.460,0.049,0.000,10.290
4.460,0.049,0.000,10.360
4.460,0.146,0.000,10.316
4.460,0.244,0.000,10.326
4.460,0.342,0.006,10.382
4.460,0.439,0.077,10.320
4.460,0.537,0.129,10.321
4.460,0.684,0.191,10.318
4.460,0.830,0.257,10.318
4.460,0.928,0.318,10.321
4.460,1.123,0.393,10.324
4.460,1.318,0.455,10.373
4.460,1.465,0.529,10.324
4.460,1.660,0.591,10.321
4.460,1.855,0.661,10.319
4.460,2.100,0.736,10.323
4.460,2.295,0.802,10.324
4.460,2.539,0.876,10.321
4.460,2.783,0.942,10.400
4.460,2.979,1.013,10.306
4.460,3.174,1.079,10.373
4.460,3.418,1.145,10.331
4.460,3.711,1.215,10.324
4.460,4.004,1.281,10.318
4.460,4.248,1.351,10.318
4.460,4.541,1.413,10.316
4.460,4.785,1.483,10.328
4.460,5.127,1.544,10.315
4.460,5.420,1.606,10.323
4.460,5.762,1.676,10.316
4.460,6.055,1.738,10.319
4.460,6.396,1.813,10.325
4.460,6.738,1.865,10.220
4.460,7.080,1.931,10.376
4.460,7.422,1.984,10.364
4.460,7.764,2.050,10.362
4.460,8.154,2.089,10.379
4.460,8.447,2.125,10.374
4.460,8.691,2.155,9.385
4.460,8.984,2.177,10.368
4.460,9.180,2.199,10.369
4.460,9.326,2.217,10.364
4.460,9.473,2.230,10.369
4.460,9.619,2.243,10.411
4.460,9.766,2.243,10.368
4.460,9.766,2.248,10.366
4.460,9.814,2.252,9.371
4.460,9.912,2.252,10.369
4.460,10.010,2.256,10.367
4.460,10.059,2.261,10.364
4.460,10.107,2.256,10.373
4.460,10.107,2.261,10.377
4.460,10.107,2.256,10.410
4.460,10.205,2.256,10.373
4.460,10.205,2.252,10.380
4.460,10.205,2.248,10.394
4.460,10.254,2.252,10.390
4.460,10.254,2.252,10.353
4.460,10.303,2.252,10.566
4.460,10.303,2.256,9.368
4.460,10.352,2.256,10.353
4.460,10.400,2.256,10.355
4.460,10.400,2.252,10.357
4.460,10.449,2.261,10.355
4.460,10.449,2.261,10.354
4.460,10.547,2.261,10.362
4.460,10.547,2.261,10.365
4.460,10.547,2.261,10.382
4.460,10.547,2.265,10.350
4.460,10.596,2.261,10.344
4.460,10.645,2.265,10.354
4.460,10.596,2.265,10.350
4.460,10.645,2.261,10.367
4.460,10.693,2.265,9.402
4.460,10.693,2.265,10.430
4.460,10.693,2.265,10.551
4.460,10.693,2.261,10.254
4.460,10.742,2.265,10.417
4.460,10.742,2.274,10.402
4.460,10.791,2.270,10.403
4.460,10.840,2.270,10.357
4.460,10.840,2.270,10.354
4.460,10.840,2.270,10.357
4.460,10.889,2.274,10.356
4.460,10.889,2.270,10.358
4.460,10.889,2.274,10.357
4.460,10.889,2.270,9.355
4.460,10.889,2.270,10.350
4.460,10.938,2.274,10.356
4.460,10.938,2.270,10.374
4.460,10.938,2.274,10.397
4.460,10.938,2.274,10.391
4.460,10.986,2.270,10.373
4.460,10.986,2.274,10.383
2.190,11.035,2.274,9.355
2.190,11.035,2.274,10.348
2.190,11.084,2.274,10.358
2.190,11.035,2.261,10.345
2.190,11.084,2.270,10.352
2.190,11.084,2.261,10.361
2.190,11.035,2.256,10.354
2.190,11.084,2.252,10.358
2.190,11.035,2.243,10.357
2.190,11.035,2.217,10.353
2.190,11.133,2.190,10.356
2.190,10.938,2.151,10.355
2.190,10.742,2.107,10.357
2.190,10.596,2.067,10.357
2.190,10.400,2.028,10.380
2.190,10.205,1.975,10.389
2.190,10.010,1.936,10.412
2.190,9.814,1.896,10.360
2.190,9.619,1.856,10.382
2.190,9.424,1.813,10.395
2.190,9.180,1.773,10.347
2.190,8.984,1.733,10.378
2.190,8.838,1.694,10.540
2.190,8.594,1.650,10.394
2.190,8.447,1.619,10.438
2.190,8.203,1.575,10.310
2.190,8.057,1.544,10.321
2.190,7.861,1.505,10.326
2.190,7.666,1.474,10.316
2.190,7.471,1.435,10.320
2.190,7.275,1.395,10.321
2.190,7.080,1.360,10.320
2.190,6.934,1.325,10.324
2.190,6.738,1.294,10.324
2.190,6.592,1.272,10.322
2.190,6.494,1.246,10.322
2.190,6.396,1.224,10.320
2.190,6.250,1.215,10.318
2.190,6.152,1.197,10.326
2.190,6.104,1.188,10.320
2.190,6.055,1.184,10.315
2.190,6.006,1.180,10.318
2.190,5.957,1.175,10.318
2.190,5.957,1.180,10.323
2.190,5.957,1.180,10.407
2.190,5.908,1.171,10.363
2.190,5.908,1.171,10.200
2.190,5.908,1.171,10.370
2.190,5.908,1.175,10.370
2.190,5.859,1.171,10.379
2.190,5.859,1.167,10.380
2.190,5.859,1.167,9.378
2.190,5.811,1.167,10.377
2.190,5.762,1.167,10.370
2.190,5.811,1.158,10.371
2.190,5.762,1.158,10.472
2.190,5.762,1.158,10.354
2.190,5.762,1.162,10.352
2.190,5.762,1.158,10.348
2.190,5.713,1.153,10.351
2.190,5.713,1.158,10.364
2.190,5.713,1.153,10.393
2.190,5.713,1.149,10.353
2.190,5.713,1.153,10.344
2.190,5.713,1.153,10.318
2.190,5.713,1.149,10.452
2.190,5.664,1.145,10.408
2.190,5.664,1.149,10.269
2.190,5.615,1.145,10.360
2.190,5.664,1.145,10.360
2.190,5.615,1.145,10.391
2.190,5.615,1.145,10.355
2.190,5.615,1.140,10.352
2.190,5.615,1.140,9.353
2.190,5.615,1.140,10.354
2.190,5.615,1.136,10.352
2.190,5.615,1.131,10.354
2.190,5.566,1.131,10.349
2.190,5.615,1.131,10.407
2.190,5.566,1.131,10.366
2.190,5.566,1.131,10.392
2.190,5.566,1.131,10.359
2.190,5.566,1.131,10.351
2.190,5.566,1.123,10.358
2.190,5.518,1.123,10.393
2.190,5.518,1.123,10.344
2.190,5.518,1.123,10.531
2.190,5.518,1.123,10.220
2.190,5.518,1.123,10.379
2.190,5.518,1.123,10.355
2.190,5.469,1.118,10.362
2.190,5.518,1.118,10.390
2.190,5.518,1.118,9.356
2.190,5.518,1.114,10.351
2.190,5.469,1.114,10.353
2.190,5.420,1.109,10.352
2.190,5.469,1.114,10.349
2.190,5.469,1.114,10.354
2.190,5.518,1.114,10.356
2.190,5.420,1.109,10.353
2.190,5.420,1.105,10.352
2.190,5.420,1.114,10.358
2.190,5.420,1.109,10.416
2.190,5.420,1.105,10.283
2.190,5.420,1.109,10.353
2.190,5.371,1.105,10.416
2.190,5.420,1.101,9.351
1.611,5.371,1.105,10.351
1.611,5.420,1.105,10.356
1.611,5.420,1.087,9.351
1.611,5.420,1.070,10.354
1.611,5.322,1.043,10.353
1.611,5.225,1.013,10.353
1.611,5.078,0.982,10.366
1.611,4.932,0.956,10.414
1.611,4.883,0.920,10.383
1.611,4.736,0.898,10.386
1.611,4.639,0.885,10.374
1.611,4.590,0.872,10.370
1.611,4.541,0.859,10.394
1.611,4.443,0.846,10.387
1.611,4.443,0.846,10.372
1.611,4.443,0.837,9.377
1.611,4.395,0.833,10.378
1.611,4.395,0.833,10.375
1.611,4.346,0.828,10.384
1.611,4.297,0.828,10.384
1.611,4.297,0.828,10.371
1.611,4.297,0.819,10.377
1.611,4.297,0.819,10.443
1.611,4.297,0.819,10.372
1.611,4.248,0.819,10.375
1.611,4.248,0.815,10.441
1.611,4.248,0.815,10.377
1.611,4.199,0.815,10.369
1.611,4.199,0.815,9.375
1.611,4.199,0.815,10.442
1.611,4.248,0.811,10.368
1.611,4.199,0.811,10.372
1.611,4.150,0.802,10.438
1.611,4.199,0.806,9.370
1.611,4.150,0.806,10.375
1.611,4.150,0.811,10.437
1.611,4.150,0.802,10.367
1.611,4.150,0.802,10.363
1.611,4.150,0.802,10.374
1.611,4.102,0.797,10.441
1.611,4.102,0.797,10.423
1.611,4.102,0.797,10.437
1.611,4.102,0.797,10.455
1.611,4.102,0.797,10.414
1.611,4.102,0.793,10.444
1.611,4.102,0.793,10.372
1.611,4.053,0.793,10.369
1.611,4.102,0.789,10.371
1.611,4.053,0.784,10.436
1.611,4.053,0.789,10.387
1.611,4.053,0.789,10.382
1.611,4.053,0.784,10.376
1.611,4.053,0.780,10.438
1.611,4.053,0.780,10.376
1.611,4.053,0.784,10.375
1.611,4.004,0.784,10.440
1.611,4.004,0.780,10.371
1.611,4.004,0.775,10.435
1.611,4.004,0.775,10.377
1.611,4.004,0.775,10.436
1.611,4.004,0.775,10.585
1.611,4.004,0.775,10.347
1.611,4.004,0.771,10.348
1.611,4.004,0.775,10.322
1.611,3.955,0.771,10.319
1.611,3.955,0.775,10.375
1.611,4.004,0.775,10.295
1.611,3.955,0.767,10.339
1.611,3.955,0.767,10.329
1.611,3.906,0.767,10.319
1.611,3.955,0.771,10.327
1.611,3.955,0.767,10.327
1.611,3.906,0.767,10.320
1.611,3.955,0.762,10.327
1.611,3.906,0.762,10.323
1.611,3.906,0.762,10.336
1.611,3.955,0.758,10.309
1.611,3.906,0.758,10.321
1.611,3.906,0.758,10.321
1.611,3.857,0.758,10.318
1.611,3.906,0.758,10.319
1.611,3.906,0.753,10.204
1.611,3.857,0.753,10.498
1.611,3.857,0.749,10.266
1.611,3.857,0.753,10.377
1.611,3.857,0.753,10.441
1.611,3.857,0.753,10.374
1.611,3.857,0.749,10.489
