u[V],s[mm],p[bar],t[ms] 
4.460,-0.049,0.000,417677783.822
4.460,-0.049,0.000,10.406
4.460,-0.049,0.000,10.363
4.460,-0.049,0.000,10.475
4.460,-0.098,0.000,9.434
4.460,-0.049,0.000,10.570
4.460,-0.098,0.000,10.467
4.460,-0.049,0.000,10.448
4.460,-0.098,0.000,10.924
4.460,-0.049,0.000,10.783
4.460,-0.049,0.000,10.345
4.460,-0.098,0.000,10.521
4.460,-0.049,0.000,10.306
4.460,-0.049,0.000,10.328
4.460,0.098,0.000,10.328
4.460,0.146,0.000,10.320
4.460,0.195,0.000,10.385
4.460,0.391,0.042,10.372
4.460,0.439,0.099,10.321
4.460,0.635,0.165,10.313
4.460,0.781,0.235,10.317
4.460,0.928,0.296,10.326
4.460,1.074,0.371,10.316
4.460,1.318,0.437,10.323
4.460,1.367,0.507,10.326
4.460,1.660,0.578,10.325
4.460,1.807,0.644,10.317
4.460,2.100,0.714,10.320
4.460,2.246,0.784,10.315
4.460,2.490,0.846,9.321
4.460,2.686,0.920,10.318
4.460,2.979,0.995,10.314
4.460,3.174,1.061,10.318
4.460,3.516,1.131,10.354
4.460,3.662,1.202,10.320
4.460,4.053,1.268,10.317
4.460,4.297,1.333,10.311
4.460,4.639,1.399,10.323
4.460,4.834,1.474,10.315
4.460,5.176,1.540,10.312
4.460,5.420,1.602,10.312
4.460,5.859,1.672,10.312
4.460,6.104,1.733,10.313
4.460,6.494,1.799,10.321
4.460,6.738,1.861,10.307
4.460,7.178,1.927,10.314
4.460,7.471,1.988,10.314
4.460,7.861,2.054,10.320
4.460,8.154,2.089,10.196
4.460,8.545,2.133,10.594
4.460,8.740,2.155,10.257
4.460,9.033,2.182,10.440
4.460,9.229,2.204,10.375
4.460,9.424,2.221,10.441
4.460,9.521,2.230,10.394
4.460,9.668,2.243,10.397
4.460,9.717,2.239,10.441
4.460,9.863,2.252,10.381
4.460,9.863,2.248,10.442
4.460,9.961,2.261,10.376
4.460,9.961,2.248,9.436
4.460,10.059,2.256,10.372
4.460,10.059,2.252,10.437
4.460,10.107,2.256,10.374
4.460,10.107,2.252,10.434
4.460,10.156,2.256,9.416
4.460,10.156,2.252,10.439
4.460,10.205,2.252,10.380
4.460,10.205,2.248,10.513
4.460,10.303,2.252,10.330
4.460,10.303,2.252,9.344
4.460,10.303,2.261,10.380
4.460,10.352,2.261,10.445
4.460,10.400,2.261,10.379
4.460,10.400,2.256,10.440
4.460,10.449,2.261,10.376
4.460,10.449,2.261,10.371
4.460,10.498,2.256,10.437
4.460,10.449,2.261,10.376
4.460,10.547,2.261,10.435
4.460,10.498,2.265,10.377
4.460,10.596,2.265,10.439
4.460,10.547,2.261,10.426
4.460,10.645,2.265,10.371
4.460,10.596,2.265,10.442
4.460,10.596,2.265,10.376
4.460,10.693,2.265,10.438
4.460,10.693,2.274,10.374
4.460,10.693,2.270,10.435
4.460,10.693,2.274,10.374
4.460,10.742,2.274,10.432
4.460,10.742,2.270,10.375
4.460,10.791,2.270,9.458
4.460,10.742,2.270,10.376
4.460,10.791,2.270,10.381
4.460,10.840,2.274,10.436
4.460,10.791,2.270,10.387
4.460,10.840,2.278,10.385
4.460,10.840,2.274,10.380
4.460,10.889,2.274,10.441
4.460,10.889,2.274,10.372
4.460,10.889,2.278,10.374
4.460,10.889,2.278,10.434
4.460,10.938,2.283,10.370
4.460,10.938,2.278,10.435
4.460,10.986,2.278,10.369
4.460,10.986,2.278,10.444
2.190,10.986,2.278,10.373
2.190,10.986,2.283,10.435
2.190,10.986,2.278,10.423
2.190,10.986,2.270,10.379
2.190,10.986,2.261,10.381
2.190,11.035,2.261,9.457
2.190,10.986,2.261,10.516
2.190,11.035,2.252,10.328
2.190,11.035,2.243,10.339
2.190,10.986,2.217,10.443
2.190,10.938,2.190,10.437
2.190,10.791,2.151,10.382
2.190,10.645,2.107,10.384
2.190,10.400,2.067,10.382
2.190,10.254,2.023,10.441
2.190,10.059,1.975,10.430
2.190,9.863,1.940,10.376
2.190,9.619,1.892,10.368
2.190,9.473,1.852,10.374
2.190,9.229,1.817,10.446
2.190,9.082,1.769,10.374
2.190,8.838,1.725,10.382
2.190,8.643,1.685,10.473
2.190,8.398,1.650,10.377
2.190,8.252,1.610,10.438
2.190,8.057,1.571,10.366
2.190,7.910,1.536,10.468
2.190,7.617,1.500,10.377
2.190,7.520,1.470,10.372
2.190,7.275,1.426,10.491
2.190,7.178,1.386,10.436
2.190,6.885,1.351,10.376
2.190,6.836,1.320,10.437
2.190,6.543,1.290,10.376
2.190,6.445,1.268,10.437
2.190,6.299,1.241,10.372
2.190,6.250,1.228,10.433
2.190,6.104,1.210,9.380
2.190,6.104,1.206,10.448
2.190,5.957,1.197,10.379
2.190,5.957,1.193,10.436
2.190,5.908,1.193,10.373
2.190,5.859,1.188,10.443
2.190,5.859,1.188,10.368
2.190,5.859,1.184,10.400
2.190,5.811,1.188,10.361
2.190,5.859,1.184,10.361
2.190,5.811,1.175,10.334
2.190,5.811,1.180,10.455
2.190,5.811,1.180,10.380
2.190,5.762,1.175,10.438
2.190,5.762,1.175,10.378
2.190,5.762,1.175,10.408
2.190,5.664,1.180,10.359
2.190,5.664,1.171,10.361
2.190,5.664,1.171,10.361
2.190,5.664,1.171,10.358
2.190,5.664,1.171,10.371
2.190,5.664,1.162,10.461
2.190,5.615,1.167,10.383
2.190,5.615,1.162,9.376
2.190,5.615,1.162,10.382
2.190,5.615,1.158,10.441
2.190,5.566,1.162,10.374
2.190,5.615,1.162,10.440
2.190,5.566,1.162,10.403
2.190,5.615,1.153,10.360
2.190,5.566,1.153,10.360
2.190,5.615,1.158,10.438
2.190,5.566,1.153,10.405
2.190,5.566,1.149,10.361
2.190,5.518,1.149,10.336
2.190,5.566,1.149,10.436
2.190,5.518,1.153,10.406
2.190,5.518,1.153,10.361
2.190,5.518,1.145,10.333
2.190,5.518,1.145,10.436
2.190,5.518,1.145,10.395
2.190,5.469,1.145,10.357
2.190,5.518,1.145,10.360
2.190,5.469,1.140,10.355
2.190,5.469,1.140,10.327
2.190,5.469,1.131,10.456
2.190,5.469,1.131,10.378
2.190,5.420,1.136,10.438
2.190,5.469,1.131,10.560
2.190,5.469,1.131,10.464
2.190,5.469,1.131,10.361
2.190,5.469,1.131,10.257
2.190,5.371,1.131,10.350
2.190,5.420,1.127,10.351
2.190,5.420,1.127,9.354
2.190,5.420,1.127,10.351
2.190,5.371,1.123,10.360
2.190,5.420,1.127,9.350
2.190,5.371,1.123,10.369
2.190,5.371,1.127,10.343
2.190,5.371,1.123,10.351
2.190,5.371,1.123,10.352
2.190,5.371,1.118,10.360
2.190,5.371,1.118,10.318
2.190,5.371,1.123,10.447
2.190,5.371,1.118,10.326
2.190,5.371,1.118,10.350
2.190,5.322,1.118,10.349
2.190,5.322,1.114,10.350
2.190,5.371,1.114,10.353
1.611,5.322,1.114,10.353
1.611,5.273,1.114,9.355
1.611,5.371,1.105,10.352
1.611,5.322,1.087,10.356
1.611,5.225,1.061,10.356
1.611,5.176,1.030,10.360
1.611,5.029,1.000,10.354
1.611,4.980,0.973,10.350
1.611,4.834,0.947,10.351
1.611,4.785,0.920,10.356
1.611,4.639,0.903,10.350
1.611,4.541,0.890,10.350
1.611,4.395,0.872,10.350
1.611,4.443,0.863,10.418
1.611,4.346,0.854,10.352
1.611,4.395,0.850,9.419
1.611,4.297,0.850,10.315
1.611,4.346,0.841,10.372
1.611,4.248,0.846,9.307
1.611,4.248,0.837,10.321
1.611,4.199,0.841,10.369
1.611,4.199,0.837,9.336
1.611,4.199,0.837,10.314
1.611,4.199,0.833,10.401
1.611,4.150,0.833,10.352
1.611,4.199,0.833,10.261
1.611,4.150,0.833,10.318
1.611,4.199,0.833,10.321
1.611,4.102,0.828,10.319
1.611,4.150,0.824,10.315
1.611,4.150,0.824,9.315
1.611,4.150,0.819,10.318
1.611,4.150,0.824,10.321
1.611,4.150,0.815,10.321
1.611,4.053,0.819,10.318
1.611,4.102,0.815,10.314
1.611,4.053,0.819,10.315
1.611,4.102,0.815,10.316
1.611,4.053,0.811,10.321
1.611,4.004,0.811,10.320
1.611,4.053,0.806,10.399
1.611,4.004,0.806,10.349
1.611,3.955,0.806,10.180
1.611,4.004,0.806,10.412
1.611,4.004,0.806,10.441
1.611,4.004,0.811,10.381
1.611,3.955,0.797,10.378
1.611,4.004,0.802,10.389
1.611,4.004,0.802,10.389
1.611,3.955,0.797,10.471
1.611,3.955,0.797,10.332
1.611,4.004,0.797,10.372
1.611,3.955,0.793,10.378
1.611,3.955,0.793,10.440
1.611,3.955,0.793,10.375
1.611,3.955,0.793,10.486
1.611,3.955,0.793,10.374
1.611,3.955,0.789,10.434
1.611,3.955,0.789,10.377
1.611,3.955,0.784,10.440
1.611,3.955,0.789,10.375
1.611,3.906,0.789,10.434
1.611,3.906,0.793,10.377
1.611,3.857,0.789,10.442
1.611,3.857,0.784,10.379
1.611,3.906,0.780,10.436
1.611,3.857,0.780,10.371
1.611,3.857,0.780,9.431
1.611,3.857,0.784,10.383
1.611,3.906,0.775,10.438
1.611,3.857,0.775,10.374
1.611,3.857,0.780,10.438
1.611,3.857,0.775,9.397
1.611,3.857,0.771,10.382
1.611,3.857,0.771,10.381
1.611,3.857,0.775,10.441
1.611,3.857,0.771,10.374
1.611,3.809,0.775,10.439
1.611,3.809,0.771,10.375
1.611,3.809,0.767,10.438
1.611,3.809,0.767,11.007
1.611,3.857,0.771,9.523
1.611,3.809,0.767,15.524
1.611,3.760,0.767,10.569
1.611,3.809,0.767,10.272
1.611,3.809,0.762,10.396
1.611,3.809,0.762,10.389
1.611,3.809,0.762,9.988
1.611,3.809,0.762,10.590
1.611,3.760,0.762,10.331
1.611,3.760,0.758,10.448
1.611,3.760,0.758,10.396
1.611,3.760,0.758,10.453
1.611,3.760,0.758,10.382
1.611,3.760,0.758,10.444
1.611,3.760,0.749,10.381
1.611,3.760,0.753,10.379
1.611,3.760,0.749,10.502
1.611,3.711,0.749,10.377
1.611,3.760,0.753,10.381
1.611,3.711,0.749,9.372
1.611,3.711,0.749,10.374
1.611,3.711,0.749,10.539
1.611,3.711,0.749,10.441
1.611,3.711,0.749,10.211
1.611,3.760,0.749,10.387
1.611,3.711,0.749,10.473
2.781,3.711,0.745,10.422
2.781,3.711,0.749,10.374
2.781,3.711,0.745,10.379
2.781,3.711,0.753,10.371
2.781,3.662,0.753,10.374
2.781,3.711,0.749,10.372
2.781,3.711,0.771,10.394
2.781,3.711,0.802,10.404
