u[V],t[ms] 
0.600,1155817387.000
8.280,736.000
0.600,978.000
8.280,688.000
0.600,1000.000
8.280,644.000
0.600,1039.000
8.280,642.000
0.600,961.000
8.280,632.000
0.600,1051.000
8.280,688.000
0.600,945.000
8.280,646.000
0.600,1059.000
8.280,687.000
0.600,1073.000
8.280,671.000
0.600,1002.000
8.280,653.000
0.600,1030.000
8.280,669.000
0.600,1002.000
8.280,664.000
0.600,1037.000
8.280,660.000
0.600,1083.000
8.280,673.000
0.600,1027.000
8.280,670.000
0.600,1033.000
8.280,679.000
0.600,954.000
8.280,645.000
0.600,921.000
8.280,654.000
0.600,1053.000
8.280,644.000
0.600,950.000
8.280,664.000
0.600,1077.000
8.280,678.000
0.600,1050.000
8.280,681.000
0.600,914.000
8.280,638.000
0.600,995.000
8.280,670.000
0.600,977.000
8.280,675.000
0.600,1040.000
8.280,676.000
0.600,1047.000
8.280,717.000
0.600,1035.000
8.280,719.000
0.600,996.000
8.280,695.000
0.600,968.000
8.280,690.000
0.600,993.000
8.280,691.000
0.600,973.000
8.280,710.000
0.600,933.000
8.280,661.000
0.600,1046.000
8.280,709.000
0.600,1063.000
8.280,707.000
0.600,1012.000
8.280,725.000
