u[V],p[V],s[mm],p[bar]
0,-0.015,0,0
0.01,-0.015,0.049,0
0.02,-0.01,0,0
0.03,-0.015,0.049,0
0.04,-0.015,0,0
0.05,-0.01,0,0
0.06,-0.015,0.049,0
0.07,-0.015,0,0
0.08,-0.02,0.049,0
0.09,-0.015,0,0
0.1,-0.015,0,0
0.11,-0.015,0.049,0
0.12,-0.01,0,0
0.13,-0.015,0,0
0.14,-0.01,0,0
0.15,-0.01,0,0
0.16,-0.015,0,0
0.17,-0.015,0,0
0.18,-0.015,0.049,0
0.19,-0.015,0,0
0.2,-0.015,0.049,0
0.21,-0.015,0.049,0
0.22,-0.01,0,0
0.23,-0.01,0,0
0.24,-0.01,0.049,0
0.25,-0.015,0.049,0
0.26,-0.015,0,0
0.27,-0.015,0.049,0
0.28,-0.02,0,0
0.29,-0.015,0.049,0
0.3,-0.015,0,0
0.31,-0.015,0,0
0.32,-0.015,0,0
0.33,-0.015,0,0
0.34,-0.015,0.049,0
0.35,-0.01,0.049,0
0.36,-0.01,0,0
0.37,-0.015,0,0
0.38,-0.01,0.049,0
0.39,-0.015,0.049,0
0,0.82,-0.098,0
0.01,0.786,-0.146,0
0.02,0.796,-0.098,0
0.03,0.791,-0.146,0
0.04,0.796,-0.146,0
0.05,0.796,-0.146,0
0.06,0.791,-0.146,0
0.07,0.791,-0.146,0
0.08,0.796,-0.146,0
0.09,0.796,-0.098,0
0.1,0.796,-0.146,0
0.11,0.801,-0.098,0
0.12,0.796,-0.146,0
0.13,0.796,-0.146,0
0.14,0.796,-0.098,0
0.15,0.791,-0.146,0
0.16,0.791,-0.098,0
0.17,0.796,-0.195,0
0.18,0.801,-0.146,0
0.19,0.845,-0.098,0
0.2,0.854,-0.098,0
0.21,0.854,-0.098,0
0.22,0.854,-0.098,0
0.23,0.85,-0.146,0
0.24,0.859,-0.098,0
0.25,0.864,-0.146,0
0.26,0.869,-0.098,0
0.27,0.874,-0.146,0
0.28,0.884,-0.098,0
0.29,0.889,-0.098,0
0.3,0.898,-0.098,0
0.31,0.908,-0.098,0
0.32,0.918,-0.098,0
0.33,0.928,-0.049,0
0.34,0.928,-0.098,0
0.35,0.928,-0.049,0
0.36,0.947,-0.049,0
0.37,0.947,-0.049,0
0.38,0.947,-0.049,0
0.39,0.962,-0.049,0
0.4,0.967,0,0
0.41,0.972,-0.049,0
0.42,0.981,0,0
0.43,0.986,0,0
0.44,0.991,0,0
0.45,1.001,0.049,0
0.46,1.011,0,0
0.47,1.016,0.049,0
0.48,1.021,0,0
0.49,1.025,0.049,0
0.5,1.03,0,0
0.51,1.045,0.049,0
0.52,1.045,0.049,0
0.53,1.06,0.049,0
0.54,1.06,0.098,0
0.55,1.069,0.098,0
0.56,1.079,0.098,0
0.57,1.084,0.098,0
0.58,1.084,0.098,0
0.59,1.104,0.098,0
0,0.869,-0.098,0
0.01,0.786,-0.244,0
0,0.796,0.049,0
0.01,0.791,0.049,0
0.02,0.796,0.049,0
0.03,0.796,0.049,0
0.04,0.791,0,0
0.05,0.791,0,0
0.06,0.791,0.049,0
0.07,0.796,0,0
0.08,0.791,0,0
0.09,0.791,0.049,0
0.1,0.796,0,0
0.11,0.791,0,0
0.12,0.796,0,0
0.13,0.796,0,0
0.14,0.791,0,0
0.15,0.796,0,0
0.16,0.791,0,0
0.17,0.796,0.049,0
0.18,0.806,0,0
0.19,0.815,0,0
0.2,0.825,0,0
0.21,0.835,0.049,0
0.22,0.845,0,0
0.23,0.845,0,0
0.24,0.854,0.049,0
0.25,0.864,0.049,0
0.26,0.879,0.049,0
0.27,0.879,0.049,0
0.28,0.879,0.049,0
0.29,0.889,0,0
0.3,0.903,0.049,0
0.31,0.908,0.049,0
0.32,0.913,0.049,0
0.33,0.923,0.098,0
0.34,0.928,0.049,0
0.35,0.938,0.049,0
0.36,0.938,0.098,0
0.37,0.947,0.098,0
0.38,0.957,0.146,0
0.39,0.957,0.098,0
0.4,0.967,0.098,0
0.41,0.977,0.098,0
0.42,0.981,0.098,0
0.43,0.991,0.146,0
0.44,0.991,0.146,0
0.45,0.996,0.146,0
0.46,1.006,0.146,0
0.47,1.011,0.146,0
0.48,1.016,0.146,0
0.49,1.035,0.146,0
0.5,1.04,0.195,0
0.51,1.04,0.195,0
0.52,1.055,0.244,0
0.53,1.06,0.244,0
0.54,1.06,0.244,0
0.55,1.074,0.244,0
0.56,1.074,0.244,0
0.57,1.084,0.195,0
0.58,1.089,0.244,0
0.59,1.099,0.244,0
0.6,1.104,0.244,0
0.61,1.108,0.293,0
0.62,1.118,0.244,0.006200000000000205
0.63,1.133,0.293,0.01970000000000005
0.64,1.133,0.342,0.01970000000000005
0.65,1.138,0.293,0.0242
0.66,1.147,0.342,0.032299999999999995
0.67,1.152,0.342,0.036799999999999944
0.68,1.157,0.342,0.041300000000000114
0.69,1.162,0.342,0.04580000000000006
0.7,1.172,0.342,0.05479999999999996
0.71,1.182,0.342,0.06380000000000008
0.72,1.182,0.342,0.06380000000000008
0.73,1.191,0.391,0.07190000000000007
0.74,1.201,0.391,0.0809000000000002
0.75,1.206,0.391,0.08539999999999992
0.76,1.206,0.391,0.08539999999999992
0.77,1.216,0.342,0.09440000000000004
0.78,1.216,0.391,0.09440000000000004
0.79,1.235,0.391,0.11150000000000015
0.8,1.24,0.439,0.1160000000000001
0.81,1.245,0.488,0.12050000000000005
0.82,1.255,0.488,0.12949999999999995
0.83,1.26,0.439,0.13400000000000012
0.84,1.26,0.488,0.13400000000000012
0.85,1.274,0.488,0.14660000000000006
0.86,1.279,0.488,0.1511
0.87,1.284,0.488,0.15559999999999996
0.88,1.294,0.537,0.16460000000000008
0.89,1.294,0.537,0.16460000000000008
0.9,1.309,0.488,0.17809999999999993
0.91,1.313,0.586,0.18169999999999997
0.92,1.309,0.537,0.17809999999999993
0.93,1.328,0.586,0.19520000000000004
0.94,1.338,0.586,0.20420000000000016
0.95,1.333,0.635,0.1997
0.96,1.353,0.635,0.2177
0.97,1.353,0.635,0.2177
0.98,1.357,0.684,0.22130000000000005
0.99,1.367,0.684,0.23029999999999995
1,1.372,0.635,0.23480000000000012
1.01,1.382,0.684,0.24380000000000002
1.02,1.382,0.684,0.24380000000000002
1.03,1.392,0.684,0.2527999999999999
1.04,1.396,0.684,0.25639999999999996
1.05,1.416,0.732,0.2744
1.06,1.416,0.732,0.2744
1.07,1.416,0.684,0.2744
1.08,1.421,0.781,0.27890000000000015
1.09,1.445,0.781,0.3005
1.1,1.44,0.781,0.29600000000000004
1.11,1.445,0.732,0.3005
1.12,1.455,0.83,0.3095000000000001
1.13,1.46,0.83,0.31400000000000006
1.14,1.465,0.83,0.3185
1.15,1.484,0.83,0.3356000000000001
1.16,1.494,0.879,0.3446
1.17,1.494,0.879,0.3446
1.18,1.494,0.879,0.3446
1.19,1.509,0.928,0.35809999999999986
1.2,1.514,0.928,0.36260000000000003
1.21,1.514,0.879,0.36260000000000003
1.22,1.533,0.928,0.3796999999999999
1.23,1.528,0.928,0.3752
1.24,1.528,0.928,0.3752
1.25,1.548,0.977,0.3932
1.26,1.558,0.977,0.4022000000000001
1.27,1.558,0.977,0.4022000000000001
1.28,1.563,0.977,0.40670000000000006
1.29,1.567,1.025,0.4102999999999999
1.3,1.572,1.025,0.41480000000000006
1.31,1.582,1.025,0.4238000000000002
1.32,1.582,1.025,0.4238000000000002
1.33,1.592,1.074,0.4328000000000001
1.34,1.597,1.074,0.4373
1.35,1.611,1.074,0.44989999999999997
1.36,1.611,1.123,0.44989999999999997
1.37,1.626,1.074,0.46340000000000003
1.38,1.621,1.123,0.4589000000000001
1.39,1.626,1.123,0.46340000000000003
1.4,1.66,1.123,0.494
1.41,1.665,1.172,0.49850000000000017
1.42,1.665,1.221,0.49850000000000017
1.43,1.665,1.221,0.49850000000000017
1.44,1.665,1.221,0.49850000000000017
1.45,1.665,1.221,0.49850000000000017
1.46,1.689,1.27,0.5201
1.47,1.689,1.27,0.5201
1.48,1.699,1.27,0.5291000000000001
1.49,1.709,1.221,0.5381
1.5,1.709,1.27,0.5381
1.51,1.719,1.318,0.5471000000000001
1.52,1.719,1.318,0.5471000000000001
1.53,1.724,1.318,0.5516000000000001
1.54,1.758,1.367,0.5822
1.55,1.758,1.367,0.5822
1.56,1.758,1.416,0.5822
1.57,1.758,1.416,0.5822
1.58,1.777,1.465,0.5992999999999999
1.59,1.772,1.465,0.5948
1.6,1.777,1.465,0.5992999999999999
1.61,1.782,1.416,0.6038000000000001
1.62,1.792,1.514,0.6128
1.63,1.797,1.514,0.6173
1.64,1.812,1.563,0.6308
1.65,1.812,1.514,0.6308
1.66,1.812,1.563,0.6308
1.67,1.836,1.563,0.6524000000000001
1.68,1.836,1.563,0.6524000000000001
1.69,1.831,1.611,0.6478999999999999
1.7,1.846,1.611,0.6614000000000002
1.71,1.851,1.563,0.6658999999999999
1.72,1.855,1.66,0.6695
1.73,1.87,1.611,0.683
1.74,1.875,1.66,0.6875
1.75,1.875,1.709,0.6875
1.76,1.895,1.709,0.7055
1.77,1.89,1.758,0.7009999999999998
1.78,1.904,1.709,0.7136
1.79,1.909,1.758,0.7181
1.8,1.919,1.807,0.7271000000000001
1.81,1.919,1.758,0.7271000000000001
1.82,1.924,1.807,0.7316
1.83,1.934,1.855,0.7405999999999999
1.84,1.943,1.855,0.7487000000000001
1.85,1.938,1.855,0.7442
1.86,1.963,1.855,0.7667000000000002
1.87,1.958,1.953,0.7622
1.88,1.968,1.953,0.7712000000000001
1.89,1.968,1.953,0.7712000000000001
1.9,1.978,1.953,0.7802
1.91,1.978,1.953,0.7802
1.92,2.007,2.002,0.8063000000000002
1.93,2.017,2.051,0.8152999999999999
1.94,2.012,2.002,0.8108
1.95,2.007,2.002,0.8063000000000002
1.96,2.026,2.002,0.8233999999999999
1.97,2.021,2.1,0.8189
1.98,2.051,2.1,0.8459000000000001
1.99,2.061,2.197,0.8549
2,2.061,2.148,0.8549
2.01,2.056,2.148,0.8504
2.02,2.065,2.197,0.8585
2.03,2.065,2.197,0.8585
2.04,2.08,2.197,0.8720000000000001
2.05,2.09,2.197,0.881
2.06,2.08,2.197,0.8720000000000001
2.07,2.1,2.246,0.8900000000000001
2.08,2.104,2.295,0.8936000000000002
2.09,2.114,2.295,0.9025999999999998
2.1,2.119,2.344,0.9071000000000002
2.11,2.129,2.295,0.9161000000000001
2.12,2.129,2.344,0.9161000000000001
2.13,2.139,2.344,0.9250999999999998
2.14,2.139,2.344,0.9250999999999998
2.15,2.153,2.393,0.9377
2.16,2.153,2.393,0.9377
2.17,2.168,2.441,0.9512000000000003
2.18,2.168,2.441,0.9512000000000003
2.19,2.183,2.49,0.9646999999999999
2.2,2.188,2.49,0.9692000000000003
2.21,2.197,2.49,0.9773000000000001
2.22,2.197,2.539,0.9773000000000001
2.23,2.202,2.539,0.9818
2.24,2.222,2.539,0.9998
2.25,2.217,2.588,0.9953000000000001
2.26,2.217,2.588,0.9953000000000001
2.27,2.236,2.588,1.0124000000000004
2.28,2.231,2.637,1.0078999999999998
2.29,2.246,2.637,1.0213999999999999
2.3,2.241,2.686,1.0169000000000001
2.31,2.261,2.734,1.0349000000000004
2.32,2.256,2.734,1.0303999999999998
2.33,2.261,2.734,1.0349000000000004
2.34,2.29,2.832,1.061
2.35,2.29,2.783,1.061
2.36,2.295,2.783,1.0655000000000001
2.37,2.295,2.783,1.0655000000000001
2.38,2.31,2.832,1.0790000000000002
2.39,2.31,2.832,1.0790000000000002
2.4,2.31,2.881,1.0790000000000002
2.41,2.319,2.881,1.0871
2.42,2.334,2.881,1.1006
2.43,2.334,2.93,1.1006
2.44,2.344,2.979,1.1096
2.45,2.349,2.979,1.1141
2.46,2.358,3.027,1.1222000000000003
2.47,2.368,3.027,1.1311999999999998
2.48,2.373,3.027,1.1357000000000004
2.49,2.388,3.076,1.1492
2.5,2.383,3.125,1.1447000000000003
2.51,2.393,3.076,1.1536999999999997
2.52,2.412,3.174,1.1707999999999998
2.53,2.407,3.174,1.1663000000000001
2.54,2.407,3.125,1.1663000000000001
2.55,2.422,3.223,1.1798000000000002
2.56,2.422,3.271,1.1798000000000002
2.57,2.441,3.271,1.1968999999999999
2.58,2.437,3.271,1.1932999999999998
2.59,2.446,3.32,1.2014
2.6,2.451,3.32,1.2059000000000002
2.61,2.466,3.32,1.2194000000000003
2.62,2.471,3.369,1.2239
2.63,2.476,3.369,1.2284000000000002
2.64,2.476,3.418,1.2284000000000002
2.65,2.485,3.418,1.2365
2.66,2.485,3.467,1.2365
2.67,2.505,3.467,1.2545000000000002
2.68,2.505,3.516,1.2545000000000002
2.69,2.52,3.564,1.2680000000000002
2.7,2.52,3.564,1.2680000000000002
2.71,2.529,3.613,1.2761
2.72,2.534,3.564,1.2805999999999997
2.73,2.539,3.613,1.2851000000000004
2.74,2.549,3.662,1.2940999999999998
2.75,2.549,3.613,1.2940999999999998
2.76,2.559,3.711,1.3031000000000001
2.77,2.563,3.711,1.3067000000000002
2.78,2.573,3.711,1.3157
2.79,2.573,3.76,1.3157
2.8,2.593,3.809,1.3336999999999999
2.81,2.593,3.809,1.3336999999999999
2.82,2.598,3.809,1.3382
2.83,2.598,3.809,1.3382
2.84,2.617,3.906,1.3553000000000002
2.85,2.622,3.955,1.3598
2.86,2.622,3.906,1.3598
2.87,2.637,3.955,1.3733
2.88,2.642,3.955,1.3778000000000001
2.89,2.646,4.004,1.3814000000000002
2.9,2.651,4.004,1.3859
2.91,2.651,4.004,1.3859
2.92,2.661,4.102,1.3949000000000003
2.93,2.666,4.102,1.3994
2.94,2.676,4.102,1.4084000000000003
2.95,2.676,4.15,1.4084000000000003
2.96,2.7,4.199,1.4300000000000002
2.97,2.705,4.248,1.4345000000000003
2.98,2.7,4.199,1.4300000000000002
2.99,2.71,4.248,1.439
3,2.715,4.297,1.4434999999999998
3.01,2.729,4.297,1.4561000000000002
3.02,2.734,4.346,1.4606
3.03,2.759,4.395,1.4830999999999999
3.04,2.759,4.443,1.4830999999999999
3.05,2.759,4.443,1.4830999999999999
3.06,2.759,4.492,1.4830999999999999
3.07,2.773,4.492,1.4957000000000003
3.08,2.769,4.443,1.4921000000000002
3.09,2.783,4.541,1.5047000000000001
3.1,2.788,4.541,1.5091999999999999
3.11,2.798,4.59,1.5182000000000002
3.12,2.798,4.59,1.5182000000000002
3.13,2.817,4.688,1.5353000000000003
3.14,2.817,4.688,1.5353000000000003
3.15,2.817,4.688,1.5353000000000003
3.16,2.827,4.736,1.5443000000000002
3.17,2.827,4.736,1.5443000000000002
3.18,2.837,4.736,1.5533000000000001
3.19,2.842,4.785,1.5578000000000003
3.2,2.861,4.834,1.5749000000000004
3.21,2.856,4.834,1.5703999999999998
3.22,2.871,4.834,1.5838999999999999
3.23,2.871,4.932,1.5838999999999999
3.24,2.881,4.98,1.5928999999999998
3.25,2.886,4.932,1.5974000000000004
3.26,2.9,4.98,1.6099999999999999
3.27,2.896,5.029,1.6063999999999998
3.28,2.9,5.029,1.6099999999999999
3.29,2.91,5.078,1.6190000000000002
3.3,2.935,5.127,1.6415000000000002
3.31,2.93,5.176,1.637
3.32,2.93,5.127,1.637
3.33,2.939,5.225,1.6451000000000002
3.34,2.939,5.176,1.6451000000000002
3.35,2.949,5.273,1.6541000000000001
3.36,2.964,5.273,1.6676000000000002
3.37,2.964,5.322,1.6676000000000002
3.38,2.979,5.273,1.6811000000000003
3.39,2.979,5.371,1.6811000000000003
3.4,2.979,5.42,1.6811000000000003
3.41,2.988,5.371,1.6892
3.42,3.003,5.42,1.7027
3.43,3.003,5.469,1.7027
3.44,3.018,5.518,1.7161999999999997
3.45,3.018,5.518,1.7161999999999997
3.46,3.042,5.566,1.7378
3.47,3.037,5.615,1.7332999999999998
3.48,3.042,5.615,1.7378
3.49,3.047,5.664,1.7423000000000002
3.5,3.047,5.713,1.7423000000000002
3.51,3.066,5.713,1.7593999999999999
3.52,3.066,5.762,1.7593999999999999
3.53,3.076,5.811,1.7684000000000002
3.54,3.076,5.762,1.7684000000000002
3.55,3.096,5.859,1.7864
3.56,3.096,5.859,1.7864
3.57,3.101,5.908,1.7909000000000002
3.58,3.11,5.908,1.799
3.59,3.125,6.006,1.8125
3.6,3.12,6.006,1.8080000000000003
3.61,3.145,6.055,1.8305000000000002
3.62,3.14,6.104,1.826
3.63,3.14,6.104,1.826
3.64,3.149,6.104,1.8341000000000003
3.65,3.154,6.201,1.8386
3.66,3.164,6.201,1.8476000000000004
3.67,3.169,6.201,1.8521
3.68,3.184,6.299,1.8656000000000001
3.69,3.184,6.299,1.8656000000000001
3.7,3.184,6.299,1.8656000000000001
3.71,3.198,6.348,1.8782
3.72,3.198,6.396,1.8782
3.73,3.218,6.445,1.8961999999999999
3.74,3.218,6.494,1.8961999999999999
3.75,3.218,6.445,1.8961999999999999
3.76,3.228,6.543,1.9052000000000002
3.77,3.228,6.543,1.9052000000000002
3.78,3.252,6.592,1.9268
3.79,3.247,6.689,1.9223
3.8,3.252,6.641,1.9268
3.81,3.262,6.689,1.9358
3.82,3.262,6.738,1.9358
3.83,3.271,6.689,1.9439000000000002
3.84,3.276,6.738,1.9484
3.85,3.306,6.885,1.9754
3.86,3.306,6.885,1.9754
3.87,3.311,6.885,1.9799000000000002
3.88,3.315,6.934,1.9834999999999998
3.89,3.315,6.934,1.9834999999999998
3.9,3.325,7.031,1.9925000000000002
3.91,3.325,7.08,1.9925000000000002
3.92,3.34,7.08,2.006
3.93,3.34,7.129,2.006
3.94,3.35,7.178,2.015
3.95,3.35,7.178,2.015
3.96,3.354,7.227,2.0186
3.97,3.374,7.275,2.0366
3.98,3.369,7.324,2.0321000000000002
3.99,3.379,7.324,2.0411
4,3.389,7.373,2.0501
4.01,3.403,7.422,2.0627
4.02,3.403,7.471,2.0627
4.03,3.418,7.52,2.0762
4.04,3.418,7.52,2.0762
4.05,3.423,7.52,2.0807
4.06,3.423,7.568,2.0807
4.07,3.447,7.617,2.1023
4.08,3.447,7.715,2.1023
4.09,3.447,7.666,2.1023
4.1,3.472,7.764,2.1248
4.11,3.472,7.861,2.1248
4.12,3.472,7.861,2.1248
4.13,3.477,7.861,2.1292999999999997
4.14,3.491,7.959,2.1419
4.15,3.491,7.91,2.1419
4.16,3.491,8.008,2.1419
4.17,3.501,7.959,2.1509
4.18,3.516,8.057,2.1644
4.19,3.516,8.105,2.1644
4.2,3.521,8.105,2.1689
4.21,3.54,8.203,2.186
4.22,3.54,8.252,2.186
4.23,3.545,8.252,2.1905
4.24,3.55,8.301,2.195
4.25,3.564,8.35,2.2076000000000002
4.26,3.56,8.35,2.204
4.27,3.579,8.447,2.2211000000000003
4.28,3.574,8.496,2.2166
4.29,3.599,8.545,2.2391
4.3,3.594,8.594,2.2346
4.31,3.594,8.643,2.2346
4.32,3.608,8.594,2.2472000000000003
4.33,3.608,8.643,2.2472000000000003
4.34,3.618,8.691,2.2561999999999998
4.35,3.623,8.789,2.2607000000000004
4.36,3.643,8.789,2.2786999999999997
4.37,3.633,8.838,2.2697000000000003
4.38,3.643,8.838,2.2786999999999997
4.39,3.647,8.936,2.2822999999999998
4.4,3.667,8.984,2.3003
4.41,3.667,9.033,2.3003
4.42,3.672,8.984,2.3048
4.43,3.672,9.082,2.3048
4.44,3.682,9.131,2.3138
4.45,3.706,9.229,2.3354
4.46,3.701,9.229,2.3309
4.47,3.711,9.277,2.3399
4.48,3.711,9.277,2.3399
4.49,3.711,9.326,2.3399
4.5,3.73,9.375,2.357
4.51,3.73,9.375,2.357
4.52,3.74,9.424,2.366
4.53,3.74,9.473,2.366
4.54,3.755,9.521,2.3795
4.55,3.76,9.619,2.384
4.56,3.77,9.619,2.3930000000000002
4.57,3.77,9.668,2.3930000000000002
4.58,3.784,9.717,2.4055999999999997
4.59,3.784,9.766,2.4055999999999997
4.6,3.779,9.766,2.4011
4.61,3.799,9.863,2.4191
4.62,3.799,9.863,2.4191
4.63,3.813,9.912,2.4317
4.64,3.809,9.961,2.4281
4.65,3.818,10.01,2.4362
4.66,3.828,10.01,2.4452
4.67,3.838,10.107,2.4542
4.68,3.838,10.107,2.4542
4.69,3.867,10.254,2.4803
4.7,3.862,10.254,2.4758
4.71,3.867,10.352,2.4803
4.72,3.877,10.352,2.4893
4.73,3.877,10.4,2.4893
4.74,3.892,10.449,2.5028
4.75,3.892,10.498,2.5028
4.76,3.901,10.547,2.5109
4.77,3.892,10.596,2.5028
4.78,3.916,10.596,2.5244
4.79,3.916,10.645,2.5244
4.8,3.921,10.693,2.5288999999999997
4.81,3.931,10.791,2.5379
4.82,3.936,10.742,2.5424
4.83,3.945,10.84,2.5505
4.84,3.945,10.84,2.5505
4.85,3.97,10.986,2.5730000000000004
4.86,3.97,11.035,2.5730000000000004
4.87,3.97,11.035,2.5730000000000004
4.88,3.97,11.035,2.5730000000000004
4.89,3.989,11.133,2.5901
4.9,3.984,11.182,2.5856
4.91,4.009,11.279,2.6081000000000003
4.92,4.019,11.328,2.6171
4.93,4.014,11.328,2.6126000000000005
4.94,4.014,11.377,2.6126000000000005
4.95,4.028,11.426,2.6251999999999995
4.96,4.019,11.426,2.6171
4.97,4.043,11.475,2.6387
4.98,4.043,11.572,2.6387
4.99,4.048,11.572,2.6432
5,4.058,11.67,2.6522
5.01,4.063,11.67,2.6567
5.02,4.067,11.719,2.6603000000000003
5.03,4.067,11.816,2.6603000000000003
5.04,4.082,11.816,2.6738
5.05,4.082,11.865,2.6738
5.06,4.106,11.963,2.6954
5.07,4.106,12.012,2.6954
5.08,4.106,12.061,2.6954
5.09,4.111,12.061,2.6999
5.1,4.126,12.158,2.7134000000000005
5.11,4.141,12.256,2.7269
5.12,4.141,12.256,2.7269
5.13,4.15,12.305,2.7350000000000003
5.14,4.15,12.354,2.7350000000000003
5.15,4.16,12.402,2.744
5.16,4.17,12.451,2.753
5.17,4.18,12.5,2.762
5.18,4.18,12.549,2.762
5.19,4.185,12.598,2.7664999999999997
5.2,4.185,12.646,2.7664999999999997
5.21,4.204,12.695,2.7836
5.22,4.194,12.695,2.7746
5.23,4.233,12.891,2.8097
5.24,4.229,12.891,2.8061000000000003
5.25,4.229,12.939,2.8061000000000003
5.26,4.229,12.988,2.8061000000000003
5.27,4.253,13.086,2.8277
5.28,4.253,13.086,2.8277
5.29,4.253,13.135,2.8277
5.3,4.263,13.184,2.8367
5.31,4.263,13.232,2.8367
5.32,4.297,13.379,2.8672999999999997
5.33,4.287,13.428,2.8583
5.34,4.292,13.428,2.8628
5.35,4.292,13.428,2.8628
5.36,4.302,13.525,2.8718
5.37,4.307,13.623,2.8763000000000005
5.38,4.321,13.623,2.8889
5.39,4.321,13.721,2.8889
5.4,4.326,13.77,2.8933999999999997
5.41,4.341,13.818,2.9069000000000003
5.42,4.341,13.77,2.9069000000000003
5.43,4.37,13.916,2.9330000000000003
5.44,4.36,14.014,2.9240000000000004
5.45,4.36,14.014,2.9240000000000004
5.46,4.365,14.063,2.9285
