u[V],p[bar],s[mm] 
0.000,0.003,0.049
0.100,0.000,-0.049
0.200,0.027,0.000
0.300,0.092,0.049
0.400,0.125,0.146
0.500,0.172,0.342
0.600,0.211,0.439
0.700,0.252,0.635
0.800,0.294,0.781
0.900,0.335,0.928
1.000,0.379,1.025
1.100,0.418,1.270
1.200,0.453,1.416
1.300,0.492,1.563
1.400,0.562,1.807
1.500,0.598,1.953
1.600,0.647,2.051
1.700,0.715,2.295
1.800,0.768,2.539
1.900,0.831,2.832
2.000,0.894,3.027
2.100,0.957,3.271
2.200,1.029,3.516
2.300,1.092,3.809
2.400,1.150,4.053
2.500,1.213,4.395
2.600,1.276,4.639
2.700,1.343,4.980
2.800,1.415,5.273
2.900,1.473,5.664
3.000,1.541,5.908
3.100,1.599,6.348
3.200,1.653,6.641
3.300,1.720,7.080
3.400,1.774,7.422
3.500,1.846,7.813
3.600,1.900,8.252
3.700,1.967,8.594
3.800,2.017,9.033
3.900,2.088,9.473
4.000,2.147,9.863
4.100,2.205,10.400
4.200,2.264,10.791
4.300,2.322,11.328
4.400,2.385,11.768
4.500,2.443,12.451
4.600,2.511,12.842
4.700,2.569,13.428
4.800,2.632,14.111
4.900,2.686,14.551
5.000,2.748,15.234
5.100,2.807,15.918
5.200,2.874,16.504
5.300,2.924,17.236
5.400,2.986,17.676
5.500,3.049,18.506
5.600,3.108,18.945
5.700,3.179,19.775
5.800,3.242,20.557
5.900,3.292,20.947
6.000,3.364,21.680
6.100,3.422,22.363
6.200,3.480,22.803
6.300,3.548,23.584
6.400,3.602,23.975
6.500,3.673,24.805
6.600,3.718,25.146
6.700,3.795,25.977
6.800,3.862,26.660
6.900,3.902,27.002
7.000,3.983,27.783
7.100,4.037,28.223
7.200,4.122,28.906
7.300,4.163,29.346
7.400,4.253,29.883
7.500,4.288,30.371
7.600,4.338,30.615
7.700,4.428,31.494
7.800,4.477,31.885
7.900,4.540,32.227
8.000,4.598,32.715
8.100,4.661,33.105
8.200,4.715,33.545
8.300,4.782,33.936
8.400,4.832,34.375
8.500,4.899,34.814
8.600,4.966,35.107
8.700,5.020,35.498
8.800,5.088,35.889
8.900,5.137,36.182
9.000,5.204,36.621
9.100,5.249,36.816
9.200,5.326,37.305
9.300,5.388,37.646
9.400,5.424,37.842
9.500,5.465,38.086
9.600,5.460,38.135
9.700,5.460,38.135
9.800,5.460,38.184
